Question 1:  How many singers do we have ? ||| concert_singer
Question 2:  What is the total number of singers ? ||| concert_singer
Question 3:  Show name , country , age for all singers ordered by age from the oldest to the youngest . ||| concert_singer
Question 4:  What are the names , countries , and ages for every singer in descending order of age ? ||| concert_singer
Question 5:  What is the average , minimum , and maximum age of all singers from France ? ||| concert_singer
Question 6:  What is the average , minimum , and maximum age for all French singers ? ||| concert_singer
Question 7:  Show the name and the release year of the song by the youngest singer . ||| concert_singer
Question 8:  What are the names and release years for all the songs of the youngest singer ? ||| concert_singer
Question 9:  What are all distinct countries where singers above age 20 are from ? ||| concert_singer
Question 10:  What are the different countries with singers above age 20 ? ||| concert_singer
Question 11:  Show all countries and the number of singers in each country . ||| concert_singer
Question 12:  How many singers are from each country ? ||| concert_singer
Question 13:  List all song names by singers above the average age . ||| concert_singer
Question 14:  What are all the song names by singers who are older than average ? ||| concert_singer
Question 15:  Show location and name for all stadiums with a capacity between 5000 and 10000 . ||| concert_singer
Question 16:  What are the locations and names of all stations with capacity between 5000 and 10000 ? ||| concert_singer
Question 17:  What is the maximum capacity and the average of all stadiums ? ||| concert_singer
Question 18:  What is the average and maximum capacities for all stadiums ? ||| concert_singer
Question 19:  What is the name and capacity for the stadium with highest average attendance ? ||| concert_singer
Question 20:  What is the name and capacity for the stadium with the highest average attendance ? ||| concert_singer
Question 21:  How many concerts are there in year 2014 or 2015 ? ||| concert_singer
Question 22:  How many concerts occurred in 2014 or 2015 ? ||| concert_singer
Question 23:  Show the stadium name and the number of concerts in each stadium . ||| concert_singer
Question 24:  For each stadium , how many concerts play there ? ||| concert_singer
Question 25:  Show the stadium name and capacity with most number of concerts in year 2014 or after . ||| concert_singer
Question 26:  What is the name and capacity of the stadium with the most concerts after 2013 ? ||| concert_singer
Question 27:  Which year has most number of concerts ? ||| concert_singer
Question 28:  What is the year that had the most concerts ? ||| concert_singer
Question 29:  Show the stadium names without any concert . ||| concert_singer
Question 30:  What are the names of the stadiums without any concerts ? ||| concert_singer
Question 31:  Show countries where a singer above age 40 and a singer below 30 are from . ||| concert_singer
Question 32:  Show names for all stadiums except for stadiums having a concert in year 2014 . ||| concert_singer
Question 33:  What are the names of all stadiums that did not have a concert in 2014 ? ||| concert_singer
Question 34:  Show the name and theme for all concerts and the number of singers in each concert . ||| concert_singer
Question 35:  What are the names , themes , and number of singers for every concert ? ||| concert_singer
Question 36:  List singer names and number of concerts for each singer . ||| concert_singer
Question 37:  What are the names of the singers and number of concerts for each person ? ||| concert_singer
Question 38:  List all singer names in concerts in year 2014 . ||| concert_singer
Question 39:  What are the names of the singers who performed in a concert in 2014 ? ||| concert_singer
Question 40:  what is the name and nation of the singer who have a song having 'Hey ' in its name ? ||| concert_singer
Question 41:  What is the name and country of origin of every singer who has a song with the word 'Hey ' in its title ? ||| concert_singer
Question 42:  Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015 . ||| concert_singer
Question 43:  What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015 ? ||| concert_singer
Question 44:  Find the number of concerts happened in the stadium with the highest capacity . ||| concert_singer
Question 45:  What are the number of concerts that occurred in the stadium with the largest capacity ? ||| concert_singer
