Question 823:  How many conductors are there ? ||| orchestra
Question 824:  Count the number of conductors . ||| orchestra
Question 825:  List the names of conductors in ascending order of age . ||| orchestra
Question 826:  What are the names of conductors , ordered by age ? ||| orchestra
Question 827:  What are the names of conductors whose nationalities are not `` USA '' ? ||| orchestra
Question 828:  Return the names of conductors that do not have the nationality `` USA '' . ||| orchestra
Question 829:  What are the record companies of orchestras in descending order of years in which they were founded ? ||| orchestra
Question 830:  Return the record companies of orchestras , sorted descending by the years in which they were founded . ||| orchestra
Question 831:  What is the average attendance of shows ? ||| orchestra
Question 832:  Return the average attendance across all shows . ||| orchestra
Question 833:  What are the maximum and minimum share of performances whose type is not `` Live final '' . ||| orchestra
Question 834:  Return the maximum and minimum shares for performances that do not have the type `` Live final '' . ||| orchestra
Question 835:  How many different nationalities do conductors have ? ||| orchestra
Question 836:  Count the number of different nationalities of conductors . ||| orchestra
Question 837:  List names of conductors in descending order of years of work . ||| orchestra
Question 838:  What are the names of conductors , sorted descending by the number of years they have worked ? ||| orchestra
Question 839:  List the name of the conductor with the most years of work . ||| orchestra
Question 840:  What is the name of the conductor who has worked the greatest number of years ? ||| orchestra
Question 841:  Show the names of conductors and the orchestras they have conducted . ||| orchestra
Question 842:  What are the names of conductors as well as the corresonding orchestras that they have conducted ? ||| orchestra
Question 843:  Show the names of conductors that have conducted more than one orchestras . ||| orchestra
Question 844:  What are the names of conductors who have conducted at more than one orchestra ? ||| orchestra
Question 845:  Show the name of the conductor that has conducted the most number of orchestras . ||| orchestra
Question 846:  What is the name of the conductor who has conducted the most orchestras ? ||| orchestra
Question 847:  Please show the name of the conductor that has conducted orchestras founded after 2008 . ||| orchestra
Question 848:  What are the names of conductors who have conducted orchestras founded after the year 2008 ? ||| orchestra
Question 849:  Please show the different record companies and the corresponding number of orchestras . ||| orchestra
Question 850:  How many orchestras does each record company manage ? ||| orchestra
Question 851:  Please show the record formats of orchestras in ascending order of count . ||| orchestra
Question 852:  What are the major record formats of orchestras , sorted by their frequency ? ||| orchestra
Question 853:  List the record company shared by the most number of orchestras . ||| orchestra
Question 854:  What is the record company used by the greatest number of orchestras ? ||| orchestra
Question 855:  List the names of orchestras that have no performance . ||| orchestra
Question 856:  What are the orchestras that do not have any performances ? ||| orchestra
Question 857:  Show the record companies shared by orchestras founded before 2003 and after 2003 . ||| orchestra
Question 858:  What are the record companies that are used by both orchestras founded before 2003 and those founded after 2003 ? ||| orchestra
Question 859:  Find the number of orchestras whose record format is `` CD '' or `` DVD '' . ||| orchestra
Question 860:  Count the number of orchestras that have CD or DVD as their record format . ||| orchestra
Question 861:  Show the years in which orchestras that have given more than one performance are founded . ||| orchestra
Question 862:  What are years of founding for orchestras that have had more than a single performance ? ||| orchestra
