Question 1001:  How many singers are there ? ||| singer
Question 1002:  What is the count of singers ? ||| singer
Question 1003:  List the name of singers in ascending order of net worth . ||| singer
Question 1004:  What are the names of singers ordered by ascending net worth ? ||| singer
Question 1005:  What are the birth year and citizenship of singers ? ||| singer
Question 1006:  What are the birth years and citizenships of the singers ? ||| singer
Question 1007:  List the name of singers whose citizenship is not `` France '' . ||| singer
Question 1008:  What are the names of the singers who are not French citizens ? ||| singer
Question 1009:  Show the name of singers whose birth year is either 1948 or 1949 ? ||| singer
Question 1010:  What are the names of the singers whose birth years are either 1948 or 1949 ? ||| singer
Question 1011:  What is the name of the singer with the largest net worth ? ||| singer
Question 1012:  What is the name of the singer who is worth the most ? ||| singer
Question 1013:  Show different citizenship of singers and the number of singers of each citizenship . ||| singer
Question 1014:  For each citizenship , how many singers are from that country ? ||| singer
Question 1015:  Please show the most common citizenship of singers . ||| singer
Question 1016:  What is the most common singer citizenship ? ||| singer
Question 1017:  Show different citizenships and the maximum net worth of singers of each citizenship . ||| singer
Question 1018:  For each citizenship , what is the maximum net worth ? ||| singer
Question 1019:  Show titles of songs and names of singers . ||| singer
Question 1020:  What are the song titles and singer names ? ||| singer
Question 1021:  Show distinct names of singers that have songs with sales more than 300000 . ||| singer
Question 1022:  what are the different names of the singers that have sales more than 300000 ? ||| singer
Question 1023:  Show the names of singers that have more than one song . ||| singer
Question 1024:  What are the names of the singers that have more than one songs ? ||| singer
Question 1025:  Show the names of singers and the total sales of their songs . ||| singer
Question 1026:  For each singer name , what is the total sales for their songs ? ||| singer
Question 1027:  List the name of singers that do not have any song . ||| singer
Question 1028:  What is the sname of every sing that does not have any song ? ||| singer
Question 1029:  Show the citizenship shared by singers with birth year before 1945 and after 1955 . ||| singer
Question 1030:  What are the citizenships that are shared by singers with a birth year before 1945 and after 1955 ? ||| singer
