question_id;db_id;question;predicted_sql;latency_seconds;llm_model;embedding_model;method;timestamp
1;concert_singer;How many singers do we have ?;SELECT COUNT(*) FROM singer;51.065;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:10.308197
2;concert_singer;What is the total number of singers ?;SELECT COUNT(*) FROM singer;0.4058;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:10.713957
3;concert_singer;Show name , country , age for all singers ordered by age from the oldest to the youngest .;SELECT Name, Country, Age FROM singer ORDER BY Age DESC;0.698;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:11.413035
4;concert_singer;What are the names , countries , and ages for every singer in descending order of age ?;SELECT Name, Country, Age FROM singer ORDER BY Age DESC;0.6789;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:12.091944
5;concert_singer;What is the average , minimum , and maximum age of all singers from France ?;SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France';10.491;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:13.141063
6;concert_singer;What is the average , minimum , and maximum age for all French singers ?;SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France';1.279;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:14.421151
7;concert_singer;Show the name and the release year of the song by the youngest singer .;SELECT T1.Name, T2.Song_release_year FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.concert_ID = T3.concert_ID WHERE T1.Is_male = 0 ORDER BY T1.Age ASC LIMIT 1;35.836;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:18.004729
8;concert_singer;What are the names and release years for all the songs of the youngest singer ?;SELECT Name, Song_release_year FROM singer WHERE Age = (SELECT MIN(Age) FROM singer);10.356;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:19.041456
9;concert_singer;What are all distinct countries where singers above age 20 are from ?;SELECT DISTINCT Country FROM singer WHERE Age > 20;0.6491;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:19.691619
10;concert_singer;What are the different countries with singers above age 20 ?;SELECT DISTINCT Country FROM singer WHERE Age > 20;0.6636;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:20.356335
11;concert_singer;Show all countries and the number of singers in each country .;SELECT Country, COUNT(*) AS Num_singers FROM singer GROUP BY Country;0.7136;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:21.071060
12;concert_singer;How many singers are from each country ?;SELECT Country, COUNT(*) FROM singer GROUP BY Country;0.548;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:21.619034
13;concert_singer;List all song names by singers above the average age .;SELECT singer.Song_Name FROM singer WHERE Age > (SELECT AVG(Age) FROM singer);0.9836;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:22.602646
14;concert_singer;What are all the song names by singers who are older than average ?;SELECT DISTINCT singer.Song_Name FROM singer INNER JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID WHERE singer.Age > (SELECT AVG(singer.Age) FROM singer);25.864;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:25.190089
15;concert_singer;Show location and name for all stadiums with a capacity between 5000 and 10000 .;SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000;11.347;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:26.325819
16;concert_singer;What are the locations and names of all stations with capacity between 5000 and 10000 ?;SELECT Stadium.Location, Stadium.Name FROM Stadium WHERE Stadium.Capacity BETWEEN 5000 AND 10000;14.424;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:27.769097
17;concert_singer;What is the maximum capacity and the average of all stadiums ?;SELECT MAX(Capacity) AS Max_Capacity, AVG(Average) AS Average FROM Stadium;11.034;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:28.873964
18;concert_singer;What is the average and maximum capacities for all stadiums ?;SELECT AVG(Capacity), MAX(Capacity) FROM stadium;0.6527;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:29.526616
19;concert_singer;What is the name and capacity for the stadium with highest average attendance ?;SELECT T2.name, T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year > 2013 GROUP BY T2.stadium_id ORDER BY COUNT(*) DESC LIMIT 1;24.958;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:32.022383
20;concert_singer;What is the name and capacity for the stadium with the highest average attendance ?;SELECT T2.name, T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year > 2013 GROUP BY T2.stadium_id ORDER BY AVG(T1.attendance) DESC LIMIT 1;31.514;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:35.173804
21;concert_singer;How many concerts are there in year 2014 or 2015 ?;SELECT COUNT(*) FROM concert WHERE Year = '2014' OR Year = '2015';11.121;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:36.285954
22;concert_singer;How many concerts occurred in 2014 or 2015 ?;SELECT COUNT(*) FROM concert WHERE year = '2014' OR year = '2015';11.795;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:37.466413
23;concert_singer;Show the stadium name and the number of concerts in each stadium .;SELECT T2.name, COUNT(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id GROUP BY T2.stadium_id;19.088;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:39.375213
24;concert_singer;For each stadium , how many concerts play there ?;SELECT Stadium_ID, COUNT(*) AS Concerts FROM singer_in_concert GROUP BY Stadium_ID;11.683;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:40.543532
25;concert_singer;Show the stadium name and capacity with most number of concerts in year 2014 or after .;SELECT T2.name, T2.capacity FROM singer_in_concert AS T1 JOIN concert AS T3 ON T1.concert_ID = T3.concert_ID JOIN stadium AS T2 ON T3.stadium_ID = T2.stadium_ID WHERE T3.year > 2014 GROUP BY T2.stadium_id ORDER BY COUNT(*) DESC LIMIT 1;36.398;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:44.184423
26;concert_singer;What is the name and capacity of the stadium with the most concerts after 2013 ?;SELECT T2.name, T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year > 2013 GROUP BY T2.stadium_id ORDER BY COUNT(*) DESC LIMIT 1;26.953;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:46.880782
27;concert_singer;Which year has most number of concerts ?;SELECT Year FROM Concert GROUP BY Year ORDER BY COUNT(*) DESC LIMIT 1;0.7564;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:47.637185
28;concert_singer;What is the year that had the most concerts ?;SELECT Year FROM concert WHERE Year = (SELECT MAX(Year) FROM concert);0.78;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:48.418302
29;concert_singer;Show the stadium names without any concert .;SELECT DISTINCT Stadium.Name FROM Stadium WHERE Stadium_ID NOT IN (SELECT DISTINCT Stadium_ID FROM Concert);13.725;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:49.790754
30;concert_singer;What are the names of the stadiums without any concerts ?;SELECT DISTINCT Stadium_Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert);1.084;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:50.875806
31;concert_singer;Show countries where a singer above age 40 and a singer below 30 are from .;SELECT DISTINCT Country FROM singer WHERE Age > 40 AND EXISTS (SELECT * FROM singer WHERE Age < 30 AND Country = singer.Country);14.975;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:52.374562
32;concert_singer;Show names for all stadiums except for stadiums having a concert in year 2014 .;SELECT DISTINCT T3.Name FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID JOIN stadium AS T3 ON T1.Stadium_ID = T3.Stadium_ID WHERE T1.Year ! = 2014;29.194;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:55.293958
33;concert_singer;What are the names of all stadiums that did not have a concert in 2014 ?;SELECT T2.name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T2.Year ! = '2014' GROUP BY T1.Stadium_ID;24.959;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:58:57.789809
34;concert_singer;Show the name and theme for all concerts and the number of singers in each concert .;SELECT T1.concert_Name, T1.Theme, COUNT(T2.Singer_ID) AS Num_Singers FROM concert AS T1 LEFT JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID GROUP BY T1.concert_Name, T1.Theme;32.724;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:59:01.062166
35;concert_singer;What are the names , themes , and number of singers for every concert ?;SELECT T1.concert_Name, T1.Theme, COUNT(T2.Singer_ID) AS NumberOfSingers FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID GROUP BY T1.concert_Name, T1.Theme;32.304;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:59:04.292592
36;concert_singer;List singer names and number of concerts for each singer .;SELECT T2.Name, COUNT(*) AS Concert_Count FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T2.Name;21.507;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:59:06.443304
37;concert_singer;What are the names of the singers and number of concerts for each person ?;SELECT singer.name, COUNT(*) AS num_concerts FROM singer_in_concert JOIN concert ON singer_in_concert.concert_ID = concert.concert_ID JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID GROUP BY singer.name;29.069;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:59:09.350222
38;concert_singer;List all singer names in concerts in year 2014 .;SELECT DISTINCT T3.Name FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID JOIN singer AS T3 ON T2.Singer_ID = T3.Singer_ID WHERE T1.Year = '2014';32.946;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:59:12.644863
39;concert_singer;What are the names of the singers who performed in a concert in 2014 ?;SELECT DISTINCT T3.Name AS Singer_Name FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_ID = T2.concert_ID JOIN singer AS T3 ON T1.Singer_ID = T3.Singer_ID WHERE T2.Year = 2014;32.292;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:59:15.875108
40;concert_singer;what is the name and nation of the singer who have a song having 'Hey ' in its name ?;SELECT Name, Country FROM singer WHERE Song_Name LIKE '%Hey%';0.895;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:59:16.771289
41;concert_singer;What is the name and country of origin of every singer who has a song with the word 'Hey ' in its title ?;SELECT DISTINCT s.Name, s.Country FROM singer AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.concert_ID = c.concert_ID WHERE c.Theme LIKE '%Hey%';28.353;codellama:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T18:59:19.606604
