question_id,db_id,question,predicted_sql,latency_seconds,llm_model,embedding_model,method,timestamp
1,concert_singer,How many singers do we have ?,SELECT COUNT(*) FROM singer,5.1795,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:37.685407
2,concert_singer,What is the total number of singers ?,SELECT COUNT(*) FROM singer,0.291,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:37.978907
3,concert_singer,"Show name , country , age for all singers ordered by age from the oldest to the youngest .","SELECT singer.name, singer.country, singer.age FROM singer INNER JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id INNER JOIN stadium ON singer.singer_id = stadium.sticker_id ORDER BY singer.age ASC LIMIT 1",0.7036,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:38.683477
4,concert_singer,"What are the names , countries , and ages for every singer in descending order of age ?","SELECT name, country, age FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id JOIN stadium AS T3 ON T1.Stadium_ID = T3.Stadium_ID WHERE T2.Country = 'France' ORDER BY age DESC LIMIT 1",0.7678,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:39.451270
5,concert_singer,"What is the average , minimum , and maximum age of all singers from France ?",SELECT AVG(age) FROM singer WHERE country = 'France',0.3552,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:39.806515
6,concert_singer,"What is the average , minimum , and maximum age for all French singers ?",SELECT AVG(age) FROM singer WHERE country = 'France',0.3789,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:40.185434
7,concert_singer,Show the name and the release year of the song by the youngest singer .,"SELECT S2.Name, S1.Song_release_year FROM singer AS S1 JOIN singer_in_concert AS S2 ON S1.Singer_ID = S2.Singer_ID JOIN stadium AS S3 ON S2.Stadium_ID = S3.Stadium_ID WHERE S1.Age < S2.Age ORDER BY S1.Name ASC LIMIT 1",0.8556,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:41.041037
8,concert_singer,What are the names and release years for all the songs of the youngest singer ?,"SELECT S1.Name, S1.Song_release_year FROM singer AS S1 JOIN singer_in_concert AS SI ON S1.Singer_ID = SI.Singer_ID JOIN stadium AS ST ON SI.Stadium_ID = ST.Stadium_ID WHERE S1.Age = MIN(SI.Age) AND S1.Is_male = TRUE ORDER BY S1.Song_release_year DESC LIMIT 1",0.9365,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:41.977557
9,concert_singer,What are all distinct countries where singers above age 20 are from ?,SELECT DISTINCT country FROM singer WHERE Age > 20 AND Is_male = TRUE AND Singer_ID IN (SELECT Stadium_ID FROM concert WHERE Concert_Name LIKE '%Hey%'),0.5486,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:42.526867
10,concert_singer,What are the different countries with singers above age 20 ?,SELECT DISTINCT country FROM singer WHERE Age > 20 AND Singer_ID IN (SELECT Stadium_ID FROM concert WHERE Concert_Name LIKE '%France%'),0.5261,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:43.052918
11,concert_singer,Show all countries and the number of singers in each country .,SELECT DISTINCT country FROM singer_in_concert JOIN singer ON singer_in_concert.singer_id = singer.singer_id JOIN stadium ON singer_in_concert.stadium_id = stadium.stadium_id WHERE singer.Country = 'ALL' GROUP BY country,0.7681,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:43.822499
12,concert_singer,How many singers are from each country ?,SELECT DISTINCT country FROM singer WHERE Country = 'France' GROUP BY country,0.3605,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:44.182960
13,concert_singer,List all song names by singers above the average age .,SELECT Song_Name FROM singer IN concert WHERE Singer_ID IN (SELECT Singer_ID FROM singer WHERE Age > (SELECT AVG(Age) FROM singer)),0.4918,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:44.675257
14,concert_singer,What are all the song names by singers who are older than average ?,SELECT Song_Name FROM singer WHERE Age > (SELECT AVG(Age) FROM singer),0.3984,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:45.073679
15,concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000 .,"SELECT T2.Location, T2.Name FROM singer_in_concert AS T1 JOIN stadium AS T2 ON T1.singer_id = T2.Singer_ID WHERE T1.Stadium_ID BETWEEN 5000 AND 10000",0.6713,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:45.744973
16,concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000 ?,"SELECT location, name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",0.3911,falcon3:1b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T18:23:46.136024
