question_id,db_id,question,predicted_sql,latency_seconds,llm_model,embedding_model,method,timestamp
1,concert_singer,How many singers do we have ?,SELECT COUNT(*) FROM concert JOIN singer_in_concert ON concert.concert_ID = singer_in_concert.concert_ID JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID,6.3372,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:41.438613
2,concert_singer,What is the total number of singers ?,SELECT COUNT(*) FROM concert JOIN singer_in_concert ON concert.concert_ID = singer_in_concert.concert_ID JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID,0.6766,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:42.115757
3,concert_singer,"Show name , country , age for all singers ordered by age from the oldest to the youngest .","SELECT name, country, age FROM singer ORDER BY age DESC",0.2621,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:42.378936
4,concert_singer,"What are the names , countries , and ages for every singer in descending order of age ?","SELECT name, country, age FROM singer_in_concert INNER JOIN singer ON concert_ID = Singer_ID ORDER BY age DESC",0.4243,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:42.803203
5,concert_singer,"What is the average , minimum , and maximum age of all singers from France ?","SELECT AVG(s.age), MIN(s.age), MAX(s.age) FROM singer AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID WHERE s.country = 'France'",0.663,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:43.467240
6,concert_singer,"What is the average , minimum , and maximum age for all French singers ?","SELECT AVG(s.age), MIN(s.age), MAX(s.age) FROM singer AS s JOIN concert_in_singer AS c ON s.Singer_ID = c.Singer_ID WHERE s.country = 'France'",0.6655,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:44.132690
7,concert_singer,Show the name and the release year of the song by the youngest singer .,"SELECT concert_Name, Song_release_year FROM concert_Name JOIN singer_in_concert ON concert_Name.concert_ID = singer_in_concert.concert_ID JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID WHERE singer.Age = (SELECT MIN(Age) FROM singer)",0.934,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:45.067742
8,concert_singer,What are the names and release years for all the songs of the youngest singer ?,"SELECT singer_in_concert.Song_Name, singer.Song_release_year FROM concert_joiner JOIN singer ON concert_joiner.Singer_ID = singer.Singer_ID JOIN singer_in_concert ON concert_joiner.concert_ID = singer_in_concert.concert_ID WHERE singer.Age = (SELECT MIN(Age) FROM singer)",1.0493,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:46.117782
9,concert_singer,What are all distinct countries where singers above age 20 are from ?,SELECT DISTINCT T1.country FROM singer AS T1 JOIN concert_in_singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.age > 20,0.6084,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:46.726161
10,concert_singer,What are the different countries with singers above age 20 ?,SELECT DISTINCT country FROM singer WHERE age > 20,0.2439,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:46.970074
11,concert_singer,Show all countries and the number of singers in each country .,"SELECT T1.country, COUNT(DISTINCT T3.singer_id) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID JOIN singer AS T3 ON T2.Singer_ID = T3.Singer_ID GROUP BY T1.country",0.8742,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:47.844314
12,concert_singer,How many singers are from each country ?,"SELECT T2.country, COUNT(T1.Singer_ID) FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T2.country",0.6656,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:48.510961
13,concert_singer,List all song names by singers above the average age .,SELECT T1.Song_Name FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID JOIN singer AS T3 ON T2.Singer_ID = T3.Singer_ID WHERE T3.Age > (SELECT AVG(T4.Age) FROM concert AS T4),0.9114,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:49.422348
14,concert_singer,What are all the song names by singers who are older than average ?,SELECT T1.Song_Name FROM concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Age > (SELECT AVG(T2.Age) FROM singer AS T2),0.698,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:50.120902
15,concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000 .,"SELECT T2.location, T2.name FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.capacity BETWEEN 5000 AND 10000",0.6873,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:50.808238
16,concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000 ?,"SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",0.3447,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:51.152960
17,concert_singer,What is the maximum capacity and the average of all stadiums ?,"SELECT MAX(stadium.capacity), AVG(stadium.capacity) FROM stadium JOIN concert_in_stadium ON stadium.Stadium_ID = concert_in_stadium.Stadium_ID GROUP BY concert_in_stadium.concert_ID",0.7214,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:51.875389
18,concert_singer,What is the average and maximum capacities for all stadiums ?,"SELECT AVG(stadium.capacity), MAX(stadium.capacity) FROM concert JOIN singer_in_concert ON concert.concert_ID = singer_in_concert.concert_ID JOIN stadium ON singer_in_concert.Stadium_ID = stadium.Stadium_ID GROUP BY stadium.Stadium_ID",0.8896,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:52.766105
19,concert_singer,What is the name and capacity for the stadium with highest average attendance ?,"SELECT T2.name, T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.average = (SELECT MAX(T1.average) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id)",0.8961,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:53.662878
20,concert_singer,What is the name and capacity for the stadium with the highest average attendance ?,"SELECT T2.name, T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.average = (SELECT MAX(average) FROM concert)",0.6437,granite3.3:2b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:09:54.307671
