question_id,db_id,question,predicted_sql,latency_seconds,llm_model,embedding_model,method,timestamp
1,concert_singer,How many singers do we have ?,SELECT COUNT(*) FROM singer,8.8499,llama3.1:8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:18:08.267717
2,concert_singer,What is the total number of singers ?,SELECT COUNT(*) FROM singer,0.5723,llama3.1:8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:18:08.840255
3,concert_singer,"Show name , country , age for all singers ordered by age from the oldest to the youngest .","SELECT T2.name, T2.country, T2.age FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id ORDER BY T2.age DESC",1.6263,llama3.1:8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:18:10.466570
4,concert_singer,"What are the names , countries , and ages for every singer in descending order of age ?","SELECT name, country, age FROM singer ORDER BY age DESC",0.7897,llama3.1:8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:18:11.256249
5,concert_singer,"What is the average , minimum , and maximum age of all singers from France ?","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'france'",0.9643,llama3.1:8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:18:12.221258
6,concert_singer,"What is the average , minimum , and maximum age for all French singers ?","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'france'",1.0009,llama3.1:8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:18:13.223178
7,concert_singer,Show the name and the release year of the song by the youngest singer .,"SELECT T2.song_name, T2.song_release_year FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.singer_id = T2.singer_id WHERE T1.age = (SELECT MIN(age) FROM singer)",1.8217,llama3.1:8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:18:15.044864
8,concert_singer,What are the names and release years for all the songs of the youngest singer ?,"SELECT T2.song_name, T2.song_release_year FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.singer_id = T2.singer_id WHERE T1.age = (SELECT MIN(age) FROM singer)",1.8447,llama3.1:8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:18:16.890599
9,concert_singer,What are all distinct countries where singers above age 20 are from ?,SELECT DISTINCT T2.Country FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Age > 20,1.52,llama3.1:8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:18:18.411335
10,concert_singer,What are the different countries with singers above age 20 ?,SELECT DISTINCT country FROM singer WHERE age > 20,0.6676,llama3.1:8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:18:19.079990
