question_id,db_id,question,predicted_sql,latency_seconds,llm_model,embedding_model,framework,method,parameters,timestamp
1,concert_singer,How many singers do we have ?,SELECT COUNT(*) FROM singer,7.91,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:14:17.052085
2,concert_singer,What is the total number of singers ?,SELECT COUNT(DISTINCT Name) FROM singer,2.7403,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:14:19.792421
3,concert_singer,"Show name , country , age for all singers ordered by age from the oldest to the youngest .","SELECT Name, Country, Age FROM singer ORDER BY Age DESC",5.0372,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:14:24.831425
4,concert_singer,"What are the names , countries , and ages for every singer in descending order of age ?","SELECT singer.Name, singer.Country, singer.Age",4.2134,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:14:29.044850
5,concert_singer,"What is the average , minimum , and maximum age of all singers from France ?","This query selects the necessary columns from the 'singer' table, calculates the average age using `AVG()`, finds the minimum age with `MIN()`, and finds the maximum age with `MAX()`. The WHERE clause filters for singers in France.",3.359,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:14:32.404875
6,concert_singer,"What is the average , minimum , and maximum age for all French singers ?","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE Country = 'France'",3.4369,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:14:35.841778
7,concert_singer,Show the name and the release year of the song by the youngest singer .,"SELECT name, year",11.9662,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:14:47.807986
8,concert_singer,What are the names and release years for all the songs of the youngest singer ?,"SELECT Name, Country, Song_Name, Song_release_year FROM singer_in_concert WHERE歌手_ID = (SELECT MIN(Singer_ID) FROM singer)",4.0363,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:14:51.845271
9,concert_singer,What are all distinct countries where singers above age 20 are from ?,"SELECT DISTINCT 'Country' FROM singer WHERE (SELECT singer_name, singer_age FROM singer WHERE singer_age > 20)",12.4353,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:15:04.281605
10,concert_singer,What are the different countries with singers above age 20 ?,SELECT 1,3.7594,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:15:08.041001
11,concert_singer,Show all countries and the number of singers in each country .,"SELECT Country, Num_Singers FROM singer_counts",5.8649,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:15:13.906954
12,concert_singer,How many singers are from each country ?,"SELECT singer FROM singer_in_concert JOIN singer ON singer_id = singer_singer_id, GROUP BY Country, COUNT(*) as Num_Singers",4.2779,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:15:18.185926
13,concert_singer,List all song names by singers above the average age .,"SELECT singer_name, age FROM singer",13.7957,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:15:31.981626
14,concert_singer,What are all the song names by singers who are older than average ?,WHERE singer_name IN (SELECT singer_name FROM singer_ages WHERE age > average_age),3.6228,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:15:35.604465
15,concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000 .,"SELECT STATION_ID, Location, Name FROM STANDARDSTEAM",4.2389,deepseek-r1:1.5b,mxbai-embed-large,LlamaIndex,NLSQLTableQueryEngine,"temp=0.3,top_p=0.95,predict=2000",2025-12-07T20:15:39.843361
