question_id;db_id;question;predicted_sql;latency_seconds;llm_model;embedding_model;method;timestamp
1;concert_singer;How many singers do we have ?;SELECT COUNT(*) FROM singer;74.712;mistral:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T19:13:06.956399
2;concert_singer;What is the total number of singers ?;SELECT COUNT(*) FROM singer;0.2536;mistral:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T19:13:07.210010
3;concert_singer;Show name , country , age for all singers ordered by age from the oldest to the youngest .;SELECT singer.name, singer.country, singer.age FROM singer JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID JOIN concert ON concert.concert_ID = singer_in_concert.concert_ID ORDER BY singer.age DESC;14.226;mistral:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T19:13:08.632607
4;concert_singer;What are the names , countries , and ages for every singer in descending order of age ?;SELECT name, country, age FROM singer JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID JOIN concert ON concert.concert_ID = singer_in_concert.concert_ID ORDER BY age DESC;12.978;mistral:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T19:13:09.931539
5;concert_singer;What is the average , minimum , and maximum age of all singers from France ?;SELECT AVG(Age) AS Average_Age, MIN(Age) AS Minimum_Age, MAX(Age) AS Maximum_Age FROM singer WHERE Country = 'France';0.9516;mistral:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T19:13:10.883158
6;concert_singer;What is the average , minimum , and maximum age for all French singers ?;SELECT AVG(Age) AS Average_Age, MIN(Age) AS Minimum_Age, MAX(Age) AS Maximum_Age FROM singer WHERE Country = 'France' AND Is_male = TRUE;10.984;mistral:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T19:13:11.982592
7;concert_singer;Show the name and the release year of the song by the youngest singer .;SELECT `singer`.`Song_release_year`, `singer`.`Name` FROM `singer` JOIN (SELECT MIN(`Age`) AS MinAge, `Singer_ID` FROM `singer` JOIN `singer_in_concert` ON `singer`.`Singer_ID` = `singer_in_concert`.`Singer_ID` GROUP BY `Singer_ID`) AS YoungestSinger ON `singer`.`Singer_ID` = YoungestSinger.Singer_ID JOIN `concert` ON `concert`.`concert_ID` = `singer_in_concert`.`concert_ID`;30.365;mistral:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T19:13:15.019056
8;concert_singer;What are the names and release years for all the songs of the youngest singer ?;SELECT song_name, song_release_year FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON concert.concert_id = singer_in_concert.concert_id JOIN stadium ON stadium.stadium_id = concert.stadium_id WHERE singer.age = (SELECT MIN(age) FROM singer);18.358;mistral:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T19:13:16.854809
9;concert_singer;What are all distinct countries where singers above age 20 are from ?;SELECT DISTINCT country FROM singer WHERE Age > 20 AND Singer_ID IN (SELECT Singer_ID FROM singer_in_concert);0.7514;mistral:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T19:13:17.606243
10;concert_singer;What are the different countries with singers above age 20 ?;SELECT DISTINCT country FROM singer WHERE age > 20;0.3767;mistral:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T19:13:17.982983
11;concert_singer;Show all countries and the number of singers in each country .;SELECT Country, COUNT(*) FROM singer GROUP BY Country;0.3792;mistral:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T19:13:18.362152
12;concert_singer;How many singers are from each country ?;SELECT country, COUNT(*) FROM singer GROUP BY country;0.3903;mistral:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T19:13:18.752424
13;concert_singer;List all song names by singers above the average age .;SELECT Song_Name FROM singer_in_concert JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID JOIN concert ON concert.concert_ID = singer_in_concert.concert_ID JOIN stadium ON concert.Stadium_ID = stadium.Stadium_ID WHERE singer.Age > (SELECT AVG(singer.Age) FROM singer);18.568;mistral:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T19:13:20.609187
14;concert_singer;What are all the song names by singers who are older than average ?;SELECT Song_Name FROM singer JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID JOIN concert ON concert.concert_ID = singer_in_concert.concert_ID JOIN stadium ON concert.Stadium_ID = stadium.Stadium_ID WHERE singer.Age > (SELECT AVG(singer.Age) FROM singer);1.867;mistral:7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T19:13:22.477153
