question_id,db_id,question,predicted_sql,latency_seconds,llm_model,embedding_model,method,timestamp
1,concert_singer,How many singers do we have ?,select count(*) from singer,5.717,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:04:56.203028
2,concert_singer,What is the total number of singers ?,select count(*) from singer,0.1715,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:04:56.375592
3,concert_singer,"Show name , country , age for all singers ordered by age from the oldest to the youngest .","SELECT s.Name, s.Country, s.Age FROM singer AS s ORDER BY s.Age DESC",0.364,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:04:56.740710
4,concert_singer,"What are the names , countries , and ages for every singer in descending order of age ?","SELECT s.Name, s.Country, s.Age FROM singer AS s ORDER BY s.Age DESC",0.3659,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:04:57.106784
5,concert_singer,"What is the average , minimum , and maximum age of all singers from France ?","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France'",0.3697,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:04:57.476495
6,concert_singer,"What is the average , minimum , and maximum age for all French singers ?","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France'",0.3696,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:04:57.847071
7,concert_singer,Show the name and the release year of the song by the youngest singer .,"SELECT s.Name, s.Song_release_year FROM singer AS s JOIN (SELECT Name, Song_release_year, MIN(Age) as min_age FROM singer GROUP BY Singer_ID) AS youngest ON s.Singer_ID = youngest.Singer_ID WHERE s.Age = youngest.min_age",1.0232,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:04:58.871272
8,concert_singer,What are the names and release years for all the songs of the youngest singer ?,"SELECT Name, Song_release_year FROM singer WHERE Age = (SELECT MIN(Age) FROM singer) AND Is_male = FALSE",0.4689,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:04:59.341230
9,concert_singer,What are all distinct countries where singers above age 20 are from ?,SELECT DISTINCT country FROM singer WHERE age > 20,0.2546,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:04:59.595817
10,concert_singer,What are the different countries with singers above age 20 ?,SELECT DISTINCT country FROM singer WHERE age > 20 ORDER BY country ASC,0.3248,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:04:59.920651
11,concert_singer,Show all countries and the number of singers in each country .,"SELECT Country, COUNT(*) FROM singer GROUP BY Country",0.2152,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:05:00.135887
12,concert_singer,How many singers are from each country ?,"SELECT Country, COUNT(*) FROM singer GROUP BY Country",0.2022,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:05:00.339045
13,concert_singer,List all song names by singers above the average age .,SELECT singer.song_name FROM singer JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID WHERE singer.age > (SELECT AVG(singer.age) FROM singer) ORDER BY singer.Age DESC,0.8162,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:05:01.156359
14,concert_singer,What are all the song names by singers who are older than average ?,SELECT DISTINCT singer_in_concert.song_name FROM singer INNER JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID WHERE singer.Age > (SELECT AVG(Age) FROM singer) AND singer.Is_male = TRUE,0.9008,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:05:02.057122
15,concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000 .,"SELECT Location, Name FROM Stadium WHERE Capacity BETWEEN 5000 AND 10000",0.4179,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:05:02.476036
16,concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000 ?,"SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",0.4153,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:05:02.892340
17,concert_singer,What is the maximum capacity and the average of all stadiums ?,"SELECT MAX(Capacity), AVG(Average) FROM stadium",0.2684,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:05:03.161268
18,concert_singer,What is the average and maximum capacities for all stadiums ?,"SELECT AVG(Capacity), MAX(Capacity) FROM stadium",0.2747,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:05:03.436972
19,concert_singer,What is the name and capacity for the stadium with highest average attendance ?,"SELECT Name, Capacity FROM stadium ORDER BY Average DESC LIMIT 1",0.2901,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:05:03.727070
20,concert_singer,What is the name and capacity for the stadium with the highest average attendance ?,"SELECT Name, Capacity FROM stadium ORDER BY Average DESC LIMIT 1",0.3136,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:05:04.042288
21,concert_singer,How many concerts are there in year 2014 or 2015 ?,"SELECT COUNT(*) FROM concert WHERE Year IN ('2014', '2015')",0.3245,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:05:04.366835
22,concert_singer,How many concerts occurred in 2014 or 2015 ?,"SELECT COUNT(*) FROM concert WHERE year IN ('2014', '2015')",0.3406,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:05:04.707443
23,concert_singer,Show the stadium name and the number of concerts in each stadium .,"SELECT T2.Name, COUNT(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.Stadium_ID = T2.Stadium_ID GROUP BY T2.Stadium_ID",0.669,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:05:05.377484
24,concert_singer,"For each stadium , how many concerts play there ?","SELECT T2.Name, COUNT(*) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID GROUP BY T2.Stadium_ID",0.6764,phi3.5:3.8b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:05:06.054845
