question_id,db_id,question,predicted_sql,latency_seconds,llm_model,embedding_model,method,timestamp
1,concert_singer,How many singers do we have ?,select count(*) from singer,8.097,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:05.414826
2,concert_singer,What is the total number of singers ?,select count(*) from singer,0.4181,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:05.832898
3,concert_singer,"Show name , country , age for all singers ordered by age from the oldest to the youngest .","select name, country, age from singer order by age desc",0.5391,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:06.371958
4,concert_singer,"What are the names , countries , and ages for every singer in descending order of age ?","select name, country, age from singer order by age desc",0.5351,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:06.907070
5,concert_singer,"What is the average , minimum , and maximum age of all singers from France ?","SELECT AVG(T2.age), MIN(T2.age), MAX(T2.age) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id WHERE T2.country = 'France'",1.2642,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:08.172364
6,concert_singer,"What is the average , minimum , and maximum age for all French singers ?","SELECT AVG(T1.age) AS avg_age, MIN(T1.age) AS min_age, MAX(T1.age) AS max_age FROM singer AS T1 WHERE T1.country = 'France'",1.0189,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:09.191931
7,concert_singer,Show the name and the release year of the song by the youngest singer .,"select s.name, s.song_name, s.song_release_year from singer as s where s.age = (select min(age) from singer)",0.8128,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:10.005915
8,concert_singer,What are the names and release years for all the songs of the youngest singer ?,"select song_name, song_release_year from singer where age = (select min(age) from singer)",0.6905,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:10.696417
9,concert_singer,What are all distinct countries where singers above age 20 are from ?,select distinct T1.country from singer as T1 join singer_in_concert as T2 on T1.singer_id = T2.singer_id join concert as T3 on T2.concert_id = T3.concert_id where T1.age > 20,1.3233,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:12.020927
10,concert_singer,What are the different countries with singers above age 20 ?,select distinct T1.country from singer as T1 join singer_in_concert as T2 on T1.singer_id = T2.singer_id where T1.age > 20,0.9838,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:13.004692
11,concert_singer,Show all countries and the number of singers in each country .,"select country, count(*) from singer group by country",0.4885,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:13.494311
12,concert_singer,How many singers are from each country ?,"SELECT country, COUNT(*) FROM singer GROUP BY country",0.4715,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:13.967048
13,concert_singer,List all song names by singers above the average age .,select s.song_name from singer as s join singer_in_concert as sic on s.singer_id = sic.singer_id where s.age > (select avg(age) from singer),0.9929,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:14.959987
14,concert_singer,What are all the song names by singers who are older than average ?,select s.song_name from singer as s join singer_in_concert as sic on s.singer_id = sic.singer_id join concert as c on sic.concert_id = c.concert_id where s.age > (select avg(age) from singer),1.2448,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:16.204815
15,concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000 .,"SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",0.6924,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:16.897246
16,concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000 ?,"select location, name from stadium where capacity between 5000 and 10000",0.7222,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:17.619475
17,concert_singer,What is the maximum capacity and the average of all stadiums ?,"select max(capacity), avg(capacity) from stadium",0.5656,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:18.186157
18,concert_singer,What is the average and maximum capacities for all stadiums ?,"select avg(capacity) as avg_capacity, max(capacity) as max_capacity from stadium",0.6935,qwen2.5:7b,mxbai-embed-large,NLSQLTableQueryEngine + Few-Shot,2025-12-07T19:25:18.879663
