question_id;db_id;question;predicted_sql;latency_seconds;llm_model;embedding_model;method;timestamp
1;concert_singer;How many singers do we have ?;SELECT COUNT(*) FROM singer;75.332;smollm2:1.7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:54:02.147597
2;concert_singer;What is the total number of singers ?;SELECT COUNT(*) FROM singer;0.2675;smollm2:1.7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:54:02.416488
3;concert_singer;Show name , country , age for all singers ordered by age from the oldest to the youngest .;select T2.name, T2.country, T2.age from singer as T1 join stadium as T2 on T1.singer_id = T2.singer_id where year(T1.song_release_year) > '2013' and T2.country = 'France' order by T2.age desc limit 1;12.953;smollm2:1.7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:54:03.712862
4;concert_singer;What are the names , countries , and ages for every singer in descending order of age ?;SELECT name, country, age FROM singer ORDER BY age DESC;0.3557;smollm2:1.7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:54:04.069639
5;concert_singer;What is the average , minimum , and maximum age of all singers from France ?;SELECT AVG(age) FROM singer WHERE country = 'France';0.3855;smollm2:1.7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:54:04.457126
6;concert_singer;What is the average , minimum , and maximum age for all French singers ?;SELECT AVG(age) FROM singer WHERE country = 'France';0.3173;smollm2:1.7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:54:04.775445
7;concert_singer;Show the name and the release year of the song by the youngest singer .;SELECT song_name, year FROM concert WHERE concert_id IN (SELECT concert_id FROM singer_in_concert WHERE singer_id = (SELECT Singer_ID FROM singer WHERE age = MIN(age)));0.735;smollm2:1.7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:54:05.511523
8;concert_singer;What are the names and release years for all the songs of the youngest singer ?;SELECT song_name, year FROM concert WHERE singer_id IN (SELECT singer_id FROM singer WHERE age = (SELECT MIN(age) FROM singer));0.5775;smollm2:1.7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:54:06.090101
9;concert_singer;What are all distinct countries where singers above age 20 are from ?;SELECT DISTINCT country FROM singer WHERE age > 20;0.3366;smollm2:1.7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:54:06.427701
10;concert_singer;What are the different countries with singers above age 20 ?;SELECT country FROM singer WHERE age > 20;0.2975;smollm2:1.7b;mxbai-embed-large;NLSQLTableQueryEngine + Few-Shot;2025-12-07T17:54:06.726220
