question_id;db_id;question;predicted_sql;latency_seconds;model;timestamp
1;concert_singer;How many singers do we have ?;SELECT COUNT(*) FROM singer;55.014;codellama:7b;2025-12-06T23:07:51.190682
2;concert_singer;What is the total number of singers ?;SELECT COUNT(*) FROM singer;0.53;codellama:7b;2025-12-06T23:07:51.720655
3;concert_singer;Show name , country , age for all singers ordered by age from the oldest to the youngest .;SELECT s.Name, s.Country, s.Age FROM singer AS s ORDER BY s.Age DESC;11.083;codellama:7b;2025-12-06T23:07:52.828939
4;concert_singer;What are the names , countries , and ages for every singer in descending order of age ?;SELECT s.Name AS Name, s.Country AS Country, s.Age AS Age FROM singer AS s;23.095;codellama:7b;2025-12-06T23:07:55.138402
5;concert_singer;What is the average , minimum , and maximum age of all singers from France ?;SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France';11.455;codellama:7b;2025-12-06T23:07:56.283890
6;concert_singer;What is the average , minimum , and maximum age for all French singers ?;SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France';11.109;codellama:7b;2025-12-06T23:07:57.395764
7;concert_singer;Show the name and the release year of the song by the youngest singer .;SELECT T1.Name, T1.Song_release_year FROM singer AS T1 WHERE T1.Age = (SELECT MIN(T3.Age) FROM singer AS T3);48.101;codellama:7b;2025-12-06T23:08:02.207156
8;concert_singer;What are the names and release years for all the songs of the youngest singer ?;SELECT DISTINCT s.Name, s.Song_release_year FROM singer AS s JOIN singer_in_concert AS sc ON s.Singer_ID = sc.Singer_ID WHERE s.Age = (SELECT MIN(s2.Age) FROM singer AS s2);26.575;codellama:7b;2025-12-06T23:08:04.864690
9;concert_singer;What are all distinct countries where singers above age 20 are from ?;SELECT DISTINCT Country FROM singer WHERE Age > 20 AND Is_male = true;10.082;codellama:7b;2025-12-06T23:08:05.872877
10;concert_singer;What are the different countries with singers above age 20 ?;SELECT DISTINCT country FROM singer WHERE age > 20;0.6525;codellama:7b;2025-12-06T23:08:06.525410
11;concert_singer;Show all countries and the number of singers in each country .;SELECT country, COUNT(*) FROM singer GROUP BY country;0.8629;codellama:7b;2025-12-06T23:08:07.389858
12;concert_singer;How many singers are from each country ?;SELECT Country, COUNT(*) FROM singer GROUP BY Country;0.7431;codellama:7b;2025-12-06T23:08:08.132932
13;concert_singer;List all song names by singers above the average age .;SELECT DISTINCT s.Song_Name FROM singer AS s WHERE s.Age > (SELECT AVG(s2.Age) FROM singer AS s2);24.605;codellama:7b;2025-12-06T23:08:10.594460
14;concert_singer;What are all the song names by singers who are older than average ?;SELECT DISTINCT T1.Song_Name FROM singer AS T1 WHERE T1.Age > (SELECT AVG(T4.Age) FROM singer AS T4);33.219;codellama:7b;2025-12-06T23:08:13.917497
15;concert_singer;Show location and name for all stadiums with a capacity between 5000 and 10000 .;SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000;13.944;codellama:7b;2025-12-06T23:08:15.311898
16;concert_singer;What are the locations and names of all stations with capacity between 5000 and 10000 ?;SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000;12.294;codellama:7b;2025-12-06T23:08:16.541336
17;concert_singer;What is the maximum capacity and the average of all stadiums ?;SELECT MAX(Capacity) AS Maximum_Capacity, AVG(Average) AS Average_Attendance FROM stadium;5.062;codellama:7b;2025-12-06T23:08:21.604367
18;concert_singer;What is the average and maximum capacities for all stadiums ?;SELECT AVG(Capacity), MAX(Capacity) FROM stadium;0.8335;codellama:7b;2025-12-06T23:08:22.438823
19;concert_singer;What is the name and capacity for the stadium with highest average attendance ?;SELECT Name, Capacity FROM Stadium WHERE Average = (SELECT MAX(Average) FROM Stadium);0.9308;codellama:7b;2025-12-06T23:08:23.370588
20;concert_singer;What is the name and capacity for the stadium with the highest average attendance ?;SELECT Name, Capacity FROM Stadium WHERE Average = (SELECT MAX(Average) FROM Stadium);0.9651;codellama:7b;2025-12-06T23:08:24.335723
