question_id;db_id;question;predicted_sql;latency_seconds;model;timestamp
1;concert_singer;How many singers do we have ?;This query selects the count of distinct 'Singer_ID' from the 'singer' table, which gives us the total number of singers.;56.515;deepseek-r1:1.5b;2025-12-06T19:20:35.940137
2;concert_singer;What is the total number of singers ?;SELECT COUNT(DISTINCT singer_ID) FROM singer_in_concert;81.757;deepseek-r1:1.5b;2025-12-06T19:20:44.115882
3;concert_singer;Show name , country , age for all singers ordered by age from the oldest to the youngest .;SELECT Name, Country, Age FROM singer;70.944;deepseek-r1:1.5b;2025-12-06T19:20:51.211816
4;concert_singer;What are the names , countries , and ages for every singer in descending order of age ?;SELECT Name, Country, Age;46.928;deepseek-r1:1.5b;2025-12-06T19:20:55.904617
5;concert_singer;What is the average , minimum , and maximum age of all singers from France ?;This query selects the minimum, maximum, and average age of singers from France by using a common table expression (cte). It filters the data where the country is 'France', then applies the required aggregations.;63.877;deepseek-r1:1.5b;2025-12-06T19:21:02.292354
6;concert_singer;What is the average , minimum , and maximum age for all French singers ?;FROM (SELECT singer.Singer_ID, singer.Name, singer.Country, singer.Age;155.099;deepseek-r1:1.5b;2025-12-06T19:21:17.802245
7;concert_singer;Show the name and the release year of the song by the youngest singer .;SELECT 1;226.963;deepseek-r1:1.5b;2025-12-06T19:21:40.499543
8;concert_singer;What are the names and release years for all the songs of the youngest singer ?;WHERE singer_id = (SELECT MAX(Age) FROM singer WHERE Age = '');5.945;deepseek-r1:1.5b;2025-12-06T19:21:46.445578
9;concert_singer;What are all distinct countries where singers above age 20 are from ?;SELECT DISTINCT Location FROM singer WHERE Age > 20;58.819;deepseek-r1:1.5b;2025-12-06T19:21:52.329184
10;concert_singer;What are the different countries with singers above age 20 ?;WHERE singer.IncomingID IN (SELECT singer_id FROM singer WHERE singer.Age > 20);50.026;deepseek-r1:1.5b;2025-12-06T19:21:57.333779
11;concert_singer;Show all countries and the number of singers in each country .;SELECT Country, COUNT(Singer_ID) AS Number_of_Singers;90.623;deepseek-r1:1.5b;2025-12-06T19:22:06.397077
12;concert_singer;How many singers are from each country ?;SELECT Country, COUNT(Singer_ID) AS NumberOfSingersFromCountry FROM Singer GROUP BY Country;81.425;deepseek-r1:1.5b;2025-12-06T19:22:14.541332
13;concert_singer;List all song names by singers above the average age .;This query selects all song names by singers who are older than the average age, using a LEFT JOIN to include additional information about concerts and includes only those singers whose age exceeds the calculated average.;162.906;deepseek-r1:1.5b;2025-12-06T19:22:30.831960
14;concert_singer;What are all the song names by singers who are older than average ?;SELECT 1;230.685;deepseek-r1:1.5b;2025-12-06T19:22:53.900457
15;concert_singer;Show location and name for all stadiums with a capacity between 5000 and 10000 .;SELECT Location, Name FROM stadium WHERE Capacity > = 5000 AND Capacity < = 10000;58.625;deepseek-r1:1.5b;2025-12-06T19:22:59.762939
16;concert_singer;What are the locations and names of all stations with capacity between 5000 and 10000 ?;SELECT Location, Name FROM stadium WHERE Capacity > = 5000 AND Capacity < = 10000;74.947;deepseek-r1:1.5b;2025-12-06T19:23:07.259690
17;concert_singer;What is the maximum capacity and the average of all stadiums ?;SELECT AVG(Song_release_year) AS Avg_Song_Year FROM singer;3.657;deepseek-r1:1.5b;2025-12-06T19:23:10.918685
18;concert_singer;What is the average and maximum capacities for all stadiums ?;SELECT AVG(Capacity), MAX(Capacity) FROM Stadiums;56.483;deepseek-r1:1.5b;2025-12-06T19:23:16.567962
19;concert_singer;What is the name and capacity for the stadium with highest average attendance ?;SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium);80.276;deepseek-r1:1.5b;2025-12-06T19:23:24.597589
20;concert_singer;What is the name and capacity for the stadium with the highest average attendance ?;SELECT 1;229.771;deepseek-r1:1.5b;2025-12-06T19:23:47.576744
21;concert_singer;How many concerts are there in year 2014 or 2015 ?;SELECT COUNT(concert_ID) FROM concert WHERE Year BETWEEN 2014 AND 2015;38.245;deepseek-r1:1.5b;2025-12-06T19:23:51.401262
22;concert_singer;How many concerts occurred in 2014 or 2015 ?;SELECT COUNT(c concert_ID) FROM concert WHERE year = 2014 OR year = 2015;38.045;deepseek-r1:1.5b;2025-12-06T19:23:55.206465
23;concert_singer;Show the stadium name and the number of concerts in each stadium .;SELECT STAY_STADIUM_NAME AS STAY_NAME, COUNT(CONCERT_ID) AS CONCERT_COUNT FROM singer_in_concert;80.523;deepseek-r1:1.5b;2025-12-06T19:24:03.259766
24;concert_singer;For each stadium , how many concerts play there ?;SELECT STADIUM_ID AS Stadium, COUNT(CONCERT_ID) AS Concerts;80.058;deepseek-r1:1.5b;2025-12-06T19:24:11.265527
25;concert_singer;Show the stadium name and capacity with most number of concerts in year 2014 or after .;SELECT 1;228.175;deepseek-r1:1.5b;2025-12-06T19:24:34.084297
26;concert_singer;What is the name and capacity of the stadium with the most concerts after 2013 ?;SELECT 1;228.552;deepseek-r1:1.5b;2025-12-06T19:24:56.941491
27;concert_singer;Which year has most number of concerts ?;SELECT Year AS MostConcertYear;74.849;deepseek-r1:1.5b;2025-12-06T19:25:04.426355
28;concert_singer;What is the year that had the most concerts ?;SELECT YEAR, COUNT(concert_ID) AS ConcertCount FROM concert GROUP BY YEAR ORDER BY COUNT(concert_ID) DESC LIMIT 1;58.974;deepseek-r1:1.5b;2025-12-06T19:25:10.324933
29;concert_singer;Show the stadium names without any concert .;This query selects all distinct stadium names that are not associated with any concerts by checking if their stadium_id appears in the concert_ids from the Concerts table.;132.496;deepseek-r1:1.5b;2025-12-06T19:25:23.577415
30;concert_singer;What are the names of the stadiums without any concerts ?;WHERE concert_ID IN (SELECT concert_ID FROM singer_in_concert);60.916;deepseek-r1:1.5b;2025-12-06T19:25:29.671051
31;concert_singer;Show countries where a singer above age 40 and a singer below 30 are from .;This query selects all distinct locations where there are singers both above 40 and below 30. It uses a subquery to find the necessary singers for each country.;228.367;deepseek-r1:1.5b;2025-12-06T19:25:52.509727
32;concert_singer;Show names for all stadiums except for stadiums having a concert in year 2014 .;This query selects all stadium names except those that have a concert in the year 2014. It uses COALESCE to handle potential NULL values and includes only those stadiums where no concert was held in 2014.;220.065;deepseek-r1:1.5b;2025-12-06T19:26:14.516262
33;concert_singer;What are the names of all stadiums that did not have a concert in 2014 ?;SELECT 1;230.302;deepseek-r1:1.5b;2025-12-06T19:26:37.546478
34;concert_singer;Show the name and theme for all concerts and the number of singers in each concert .;LEFT JOIN (SELECT singer_ID FROM singer_in_concert) singer_id ON concert.concert_ID = singer_id.concert_ID;200.472;deepseek-r1:1.5b;2025-12-06T19:26:57.594716
35;concert_singer;What are the names , themes , and number of singers for every concert ?;SELECT Name FROM singer s WHERE concert_ID IN (SELECT concert_ID FROM concerts c);93.329;deepseek-r1:1.5b;2025-12-06T19:27:06.929103
36;concert_singer;List singer names and number of concerts for each singer .;SELECT 1;228.881;deepseek-r1:1.5b;2025-12-06T19:27:29.818234
37;concert_singer;What are the names of the singers and number of concerts for each person ?;SELECT singer.Name,;144.782;deepseek-r1:1.5b;2025-12-06T19:27:44.298399
38;concert_singer;List all singer names in concerts in year 2014 .;SELECT Name FROM singer_in_concert WHERE concert.Year = 2014;48.811;deepseek-r1:1.5b;2025-12-06T19:27:49.181489
39;concert_singer;What are the names of the singers who performed in a concert in 2014 ?;SELECT 1;230.127;deepseek-r1:1.5b;2025-12-06T19:28:12.196235
40;concert_singer;what is the name and nation of the singer who have a song having 'Hey ' in its name ?;SELECT Name, Country FROM singer WHERE Name LIKE '%Hey%';66.681;deepseek-r1:1.5b;2025-12-06T19:28:18.865424
41;concert_singer;What is the name and country of origin of every singer who has a song with the word 'Hey ' in its title ?;SELECT 1;231.365;deepseek-r1:1.5b;2025-12-06T19:28:42.004519
42;concert_singer;Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015 .;SELECT 1;109.594;deepseek-r1:1.5b;2025-12-06T19:28:52.963884
