question_id,db_id,question,predicted_sql,latency_seconds,model,timestamp
1,concert_singer,How many singers do we have ?,SELECT COUNT(*) FROM singer,2.9995,falcon3:1b,2025-12-06T23:00:25.210415
2,concert_singer,What is the total number of singers ?,SELECT COUNT(*) FROM singer,0.3059,falcon3:1b,2025-12-06T23:00:25.516314
3,concert_singer,"Show name , country , age for all singers ordered by age from the oldest to the youngest .","SELECT T1.name AS SingerName, T1.country AS SingerCountry, T1.age AS SingerAge FROM table_name AS T1 JOIN table_name AS T2 ON T1.singer_id = T2.singer_id ORDER BY T1.age DESC LIMIT 1",0.6804,falcon3:1b,2025-12-06T23:00:26.196734
4,concert_singer,"What are the names , countries , and ages for every singer in descending order of age ?","SELECT T2.name AS name, T2.country AS country, T2.age FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.singer_id = T2.singer_id JOIN concert AS T3 ON T1.concert_id = T3.concert_id WHERE T3.year > = 2015 GROUP BY T2.country, T2.age ORDER BY T2.age DESC LIMIT 1",0.9771,falcon3:1b,2025-12-06T23:00:27.173798
5,concert_singer,"What is the average , minimum , and maximum age of all singers from France ?","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France'",0.4601,falcon3:1b,2025-12-06T23:00:27.633926
6,concert_singer,"What is the average , minimum , and maximum age for all French singers ?","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France'",0.4436,falcon3:1b,2025-12-06T23:00:28.077476
7,concert_singer,Show the name and the release year of the song by the youngest singer .,"SELECT T2.name, T2.song_release_year FROM singer AS T1 JOIN concert AS T2 ON T1.singer_id = T2.singer_id JOIN stadium AS T3 ON T2.stadium_id = T3.Stadium_ID WHERE T3.Age = (SELECT MIN(Age) FROM singer)",0.8222,falcon3:1b,2025-12-06T23:00:28.899666
8,concert_singer,What are the names and release years for all the songs of the youngest singer ?,"SELECT T2.name, T2.song_release_year FROM singer AS T1 JOIN concert AS T2 ON T1.singer_id = T2.singer_id JOIN singer_in_concert AS T3 ON T2.singer_id = T3.singer_id JOIN stadium AS T4 ON T1.stadium_id = T4.stadium_id WHERE T3.age < T2.song_release_year AND T3.Is_male = true",1.054,falcon3:1b,2025-12-06T23:00:29.954171
9,concert_singer,What are all distinct countries where singers above age 20 are from ?,SELECT DISTINCT country FROM singer WHERE age > 20 AND country NOT IN (SELECT country FROM concert),0.4302,falcon3:1b,2025-12-06T23:00:30.384877
10,concert_singer,What are the different countries with singers above age 20 ?,SELECT DISTINCT country FROM singer WHERE age > 20,0.3105,falcon3:1b,2025-12-06T23:00:30.695426
