question_id;db_id;question;predicted_sql;latency_seconds;model;timestamp
1;concert_singer;How many singers do we have ?;SELECT COUNT(*) FROM singer;44.414;gemma3:4b;2025-12-07T16:28:01.943134
2;concert_singer;What is the total number of singers ?;SELECT COUNT(*) FROM singer;16.804;gemma3:4b;2025-12-07T16:28:03.623910
3;concert_singer;Show name , country , age for all singers ordered by age from the oldest to the youngest .;SELECT name, country, age FROM singer ORDER BY age DESC;18.732;gemma3:4b;2025-12-07T16:28:05.497695
4;concert_singer;What are the names , countries , and ages for every singer in descending order of age ?;SELECT name, country, age FROM singer ORDER BY age DESC;18.927;gemma3:4b;2025-12-07T16:28:07.391028
5;concert_singer;What is the average , minimum , and maximum age of all singers from France ?;SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France';19.746;gemma3:4b;2025-12-07T16:28:09.366609
6;concert_singer;What is the average , minimum , and maximum age for all French singers ?;SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France';20.118;gemma3:4b;2025-12-07T16:28:11.379504
7;concert_singer;Show the name and the release year of the song by the youngest singer .;SELECT T1.Name, T1.Song_release_year FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID ORDER BY T1.Age ASC LIMIT 1;25.906;gemma3:4b;2025-12-07T16:28:13.970666
8;concert_singer;What are the names and release years for all the songs of the youngest singer ?;SELECT Name, Song_release_year FROM singer WHERE Age = (SELECT MIN(Age) FROM singer);20.375;gemma3:4b;2025-12-07T16:28:16.009233
9;concert_singer;What are all distinct countries where singers above age 20 are from ?;SELECT DISTINCT country FROM singer WHERE age > 20;18.326;gemma3:4b;2025-12-07T16:28:17.843924
10;concert_singer;What are the different countries with singers above age 20 ?;SELECT DISTINCT country FROM singer WHERE age > 20;18.521;gemma3:4b;2025-12-07T16:28:19.698177
11;concert_singer;Show all countries and the number of singers in each country .;SELECT country, COUNT(*) FROM singer GROUP BY country;1.838;gemma3:4b;2025-12-07T16:28:21.539036
12;concert_singer;How many singers are from each country ?;SELECT country, COUNT(*) FROM singer GROUP BY country;18.337;gemma3:4b;2025-12-07T16:28:23.374342
13;concert_singer;List all song names by singers above the average age .;SELECT Song_Name FROM singer WHERE Age > (SELECT AVG(Age) FROM singer);19.884;gemma3:4b;2025-12-07T16:28:25.364702
14;concert_singer;What are all the song names by singers who are older than average ?;SELECT T1.Song_Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Age > (SELECT AVG(age) FROM singer);26.449;gemma3:4b;2025-12-07T16:28:28.011215
15;concert_singer;Show location and name for all stadiums with a capacity between 5000 and 10000 .;SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000;20.914;gemma3:4b;2025-12-07T16:28:30.104247
16;concert_singer;What are the locations and names of all stations with capacity between 5000 and 10000 ?;SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000;20.591;gemma3:4b;2025-12-07T16:28:32.165533
17;concert_singer;What is the maximum capacity and the average of all stadiums ?;SELECT MAX(Capacity), AVG(Capacity) FROM stadium;1.875;gemma3:4b;2025-12-07T16:28:34.042090
18;concert_singer;What is the average and maximum capacities for all stadiums ?;SELECT AVG(Capacity), MAX(Capacity) FROM stadium;18.756;gemma3:4b;2025-12-07T16:28:35.919818
19;concert_singer;What is the name and capacity for the stadium with highest average attendance ?;SELECT Name, Capacity FROM stadium ORDER BY Average DESC LIMIT 1;19.155;gemma3:4b;2025-12-07T16:28:37.837509
20;concert_singer;What is the name and capacity for the stadium with the highest average attendance ?;SELECT Name, Capacity FROM stadium ORDER BY Average DESC LIMIT 1;18.856;gemma3:4b;2025-12-07T16:28:39.724772
21;concert_singer;How many concerts are there in year 2014 or 2015 ?;SELECT COUNT(*) FROM concert WHERE Year = '2014' OR Year = '2015';21.373;gemma3:4b;2025-12-07T16:28:41.863787
22;concert_singer;How many concerts occurred in 2014 or 2015 ?;SELECT COUNT(*) FROM concert WHERE Year = '2014' OR Year = '2015';21.407;gemma3:4b;2025-12-07T16:28:44.006677
23;concert_singer;Show the stadium name and the number of concerts in each stadium .;SELECT T2.Name, COUNT(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.Stadium_ID = T2.Stadium_ID GROUP BY T1.Stadium_ID;24.923;gemma3:4b;2025-12-07T16:28:46.500653
24;concert_singer;For each stadium , how many concerts play there ?;SELECT T1.Name, COUNT(*) FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID GROUP BY T1.Stadium_ID;24.988;gemma3:4b;2025-12-07T16:28:49.000987
25;concert_singer;Show the stadium name and capacity with most number of concerts in year 2014 or after .;SELECT T2.name, T2.capacity FROM stadium AS T2 JOIN concert AS T1 ON T2.stadium_id = T1.Stadium_ID WHERE T1.Year = '2014' OR T1.Year > '2014' GROUP BY T2.stadium_id ORDER BY COUNT(*) DESC LIMIT 1;32.287;gemma3:4b;2025-12-07T16:28:52.231332
26;concert_singer;What is the name and capacity of the stadium with the most concerts after 2013 ?;SELECT T2.Name, T2.Capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T1.Year > 2013 GROUP BY T1.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1;28.871;gemma3:4b;2025-12-07T16:28:55.120002
27;concert_singer;Which year has most number of concerts ?;SELECT Year FROM concert GROUP BY Year ORDER BY COUNT(*) DESC LIMIT 1;19.501;gemma3:4b;2025-12-07T16:28:57.071957
28;concert_singer;What is the year that had the most concerts ?;SELECT Year FROM concert GROUP BY Year ORDER BY COUNT(*) DESC LIMIT 1;19.661;gemma3:4b;2025-12-07T16:28:59.039135
29;concert_singer;Show the stadium names without any concert .;SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert);20.319;gemma3:4b;2025-12-07T16:29:01.072587
30;concert_singer;What are the names of the stadiums without any concerts ?;SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert);20.256;gemma3:4b;2025-12-07T16:29:03.100421
31;concert_singer;Show countries where a singer above age 40 and a singer below 30 are from .;SELECT DISTINCT country FROM singer WHERE age > 40 INTERSECT SELECT country FROM singer WHERE age < 30;21.361;gemma3:4b;2025-12-07T16:29:05.238115
32;concert_singer;Show names for all stadiums except for stadiums having a concert in year 2014 .;SELECT Name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year = 2014;26.226;gemma3:4b;2025-12-07T16:29:07.862278
33;concert_singer;What are the names of all stadiums that did not have a concert in 2014 ?;SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert WHERE Year = '2014');22.229;gemma3:4b;2025-12-07T16:29:10.086830
34;concert_singer;Show the name and theme for all concerts and the number of singers in each concert .;SELECT T1.concert_Name, T1.Theme, COUNT(T2.Singer_ID) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID GROUP BY T1.concert_ID;2.879;gemma3:4b;2025-12-07T16:29:12.967415
35;concert_singer;What are the names , themes , and number of singers for every concert ?;SELECT T1.concert_Name, T1.Theme, COUNT(T2.Singer_ID) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID GROUP BY T1.concert_ID;28.436;gemma3:4b;2025-12-07T16:29:15.812603
36;concert_singer;List singer names and number of concerts for each singer .;SELECT T1.Name, COUNT(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T2.Singer_ID;25.632;gemma3:4b;2025-12-07T16:29:18.378018
37;concert_singer;What are the names of the singers and number of concerts for each person ?;SELECT T1.Name, COUNT(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T2.Singer_ID;2.592;gemma3:4b;2025-12-07T16:29:20.971674
38;concert_singer;List all singer names in concerts in year 2014 .;SELECT T2.Name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.concert_ID = T3.concert_ID WHERE T3.Year = '2014';30.326;gemma3:4b;2025-12-07T16:29:24.006114
39;concert_singer;What are the names of the singers who performed in a concert in 2014 ?;SELECT T2.Name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.concert_ID = T3.concert_ID WHERE T3.Year = '2014';29.773;gemma3:4b;2025-12-07T16:29:26.985522
40;concert_singer;what is the name and nation of the singer who have a song having 'Hey ' in its name ?;SELECT T1.Name, T1.Country FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.concert_ID = T3.concert_ID WHERE T3.concert_Name LIKE '%Hey%' AND T1.Song_Name LIKE '%Hey%';32.643;gemma3:4b;2025-12-07T16:29:30.252245
41;concert_singer;What is the name and country of origin of every singer who has a song with the word 'Hey ' in its title ?;SELECT T1.Name, T1.Country FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN singer AS T3 ON T2.Singer_ID = T3.Singer_ID WHERE T3.Song_Name LIKE '%Hey%';30.663;gemma3:4b;2025-12-07T16:29:33.320634
42;concert_singer;Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015 .;SELECT T1.Name, T1.Location FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T2.Year = 2014 INTERSECT SELECT stadium_id FROM concert WHERE Year = 2015;29.359;gemma3:4b;2025-12-07T16:29:36.258199
43;concert_singer;What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015 ?;SELECT T1.Name, T1.Location FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T2.Year = 2014 INTERSECT SELECT T2.Name, T2.Stadium_ID FROM concert AS T2 WHERE T2.Year = 2015;3.237;gemma3:4b;2025-12-07T16:29:39.497300
44;concert_singer;Find the number of concerts happened in the stadium with the highest capacity .;SELECT COUNT(*) FROM concert WHERE Stadium_ID = (SELECT Stadium_ID FROM stadium ORDER BY Capacity DESC LIMIT 1);21.371;gemma3:4b;2025-12-07T16:29:41.636516
45;concert_singer;What are the number of concerts that occurred in the stadium with the largest capacity ?;SELECT COUNT(*) FROM concert WHERE Stadium_ID = (SELECT Stadium_ID FROM stadium ORDER BY Capacity DESC LIMIT 1);21.268;gemma3:4b;2025-12-07T16:29:43.764495
46;pets_1;Find the number of pets whose weight is heavier than 10 .;SELECT COUNT(*) FROM Pets WHERE weight > 10;18.353;gemma3:4b;2025-12-07T16:29:45.601530
47;pets_1;How many pets have a greater weight than 10 ?;SELECT COUNT(*) FROM Pets WHERE weight > 10;1.831;gemma3:4b;2025-12-07T16:29:47.434098
48;pets_1;Find the weight of the youngest dog .;SELECT weight FROM Pets WHERE pet_age = (SELECT MIN(pet_age) FROM Pets);19.936;gemma3:4b;2025-12-07T16:29:49.429773
49;pets_1;How much does the youngest dog weigh ?;SELECT T1.weight FROM Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID = T2.PetID WHERE T1.pet_age = (SELECT MIN(pet_age) FROM Pets);25.466;gemma3:4b;2025-12-07T16:29:51.978055
50;pets_1;Find the maximum weight for each type of pet . List the maximum weight and pet type .;SELECT pet_type, MAX(weight) FROM Pets GROUP BY pet_type;19.208;gemma3:4b;2025-12-07T16:29:53.901005
51;pets_1;List the maximum weight and type for each type of pet .;SELECT pet_type, MAX(weight) FROM pets GROUP BY pet_type;19.913;gemma3:4b;2025-12-07T16:29:55.893956
52;pets_1;Find number of pets owned by students who are older than 20 .;SELECT COUNT(T1.StuID) FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T1.Age > 20;24.635;gemma3:4b;2025-12-07T16:29:58.359596
53;pets_1;How many pets are owned by students that have an age greater than 20 ?;SELECT COUNT(*) FROM Has_Pet WHERE StuID IN (SELECT StuID FROM Student WHERE Age > 20);20.649;gemma3:4b;2025-12-07T16:30:00.425576
54;pets_1;Find the number of dog pets that are raised by female students ( with sex F ) .;SELECT COUNT(*) FROM Pets WHERE PetType = 'dog' AND PetID IN (SELECT PetID FROM Has_Pet WHERE StuID IN (SELECT StuID FROM Student WHERE Sex = 'F'));24.072;gemma3:4b;2025-12-07T16:30:02.834350
55;pets_1;How many dog pets are raised by female students ?;SELECT COUNT(*) FROM Pets WHERE PetType = 'dog' AND Fname IN (SELECT Fname FROM Student WHERE Sex = 'F');21.827;gemma3:4b;2025-12-07T16:30:05.018670
56;pets_1;Find the number of distinct type of pets .;SELECT COUNT(DISTINCT PetType) FROM Pets;18.054;gemma3:4b;2025-12-07T16:30:06.825645
57;pets_1;How many different types of pet are there ?;SELECT COUNT(DISTINCT PetType) FROM Pets;17.989;gemma3:4b;2025-12-07T16:30:08.626631
58;pets_1;Find the first name of students who have cat or dog pet .;SELECT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'cat' OR T3.PetType = 'dog';29.532;gemma3:4b;2025-12-07T16:30:11.581432
59;pets_1;What are the first names of every student who has a cat or dog as a pet ?;SELECT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'cat' OR T3.PetType = 'dog';30.316;gemma3:4b;2025-12-07T16:30:14.614623
60;pets_1;Find the first name of students who have both cat and dog pets .;SELECT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'cat' INTERSECT SELECT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'dog';39.435;gemma3:4b;2025-12-07T16:30:18.560255
61;pets_1;What are the students ' first names who have both cats and dogs as pets ?;SELECT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'cat' INTERSECT SELECT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'dog';39.867;gemma3:4b;2025-12-07T16:30:22.548040
62;pets_1;Find the major and age of students who do not have a cat pet .;SELECT Major, pet_age FROM Students WHERE StuID NOT IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType = 'cat'));23.573;gemma3:4b;2025-12-07T16:30:24.907636
63;pets_1;What major is every student who does not own a cat as a pet , and also how old are they ?;SELECT T1.Major, T1.Age FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID LEFT JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType < > 'Cat';28.474;gemma3:4b;2025-12-07T16:30:27.756602
64;pets_1;Find the id of students who do not have a cat pet .;SELECT StuID FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType = 'cat'));22.354;gemma3:4b;2025-12-07T16:30:29.993179
65;pets_1;What are the ids of the students who do not own cats as pets ?;SELECT StuID FROM Has_Pet WHERE PetID NOT IN (SELECT PetID FROM Pets WHERE PetType = 'cat');20.763;gemma3:4b;2025-12-07T16:30:32.071051
