question_id,db_id,question,predicted_sql,latency_seconds,model,timestamp
1,concert_singer,How many singers do we have ?,SELECT COUNT(*) FROM stadium JOIN singer ON stadium.Singer_ID = singer.Singer_ID JOIN concert ON singer.concert_ID = concert.concert_ID JOIN singer_in_concert ON concert.concert_ID = singer_in_concert.concert_ID,5.9672,granite3.3:2b,2025-12-06T15:18:32.207908
2,concert_singer,What is the total number of singers ?,SELECT COUNT(T1.Singer_ID) FROM singer T1,0.4123,granite3.3:2b,2025-12-06T15:18:32.621276
3,concert_singer,"Show name , country , age for all singers ordered by age from the oldest to the youngest .","SELECT name, country, age FROM singer ORDER BY age DESC",0.5201,granite3.3:2b,2025-12-06T15:18:33.143023
4,concert_singer,"What are the names , countries , and ages for every singer in descending order of age ?","SELECT name, country, age FROM singer ORDER BY age DESC",0.5162,granite3.3:2b,2025-12-06T15:18:33.661367
5,concert_singer,"What is the average , minimum , and maximum age of all singers from France ?","SELECT AVG(s.age), MIN(s.age), MAX(s.age) FROM singer s WHERE s.country = 'France'",0.8329,granite3.3:2b,2025-12-06T15:18:34.496978
6,concert_singer,"What is the average , minimum , and maximum age for all French singers ?","SELECT AVG(s.age), MIN(s.age), MAX(s.age) FROM singer s WHERE s.country = 'France'",0.8412,granite3.3:2b,2025-12-06T15:18:35.339210
7,concert_singer,Show the name and the release year of the song by the youngest singer .,"SELECT T1.Name, T1.Song_release_year FROM stadium AS T1 JOIN concert AS T2 ON T1.concert_ID = T2.concert_ID JOIN singer_in_concert AS T3 ON T2.concert_ID = T3.concert_ID WHERE T3.Singer_ID = (SELECT Singer_ID FROM singer ORDER BY Age LIMIT 1) AND Is_male = true",1.8307,granite3.3:2b,2025-12-06T15:18:37.171022
8,concert_singer,What are the names and release years for all the songs of the youngest singer ?,"SELECT T1.Name, T1.Song_release_year FROM singer AS T1 JOIN concert_in_song AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Age = (SELECT MIN(Age) FROM singer)",1.258,granite3.3:2b,2025-12-06T15:18:38.431202
9,concert_singer,What are all distinct countries where singers above age 20 are from ?,SELECT DISTINCT s.country FROM singer s WHERE s.age > 20,0.5819,granite3.3:2b,2025-12-06T15:18:39.014134
10,concert_singer,What are the different countries with singers above age 20 ?,SELECT DISTINCT country FROM singer WHERE age > 20,0.3676,granite3.3:2b,2025-12-06T15:18:39.381715
