question_id,db_id,question,predicted_sql,latency_seconds,model,timestamp
1,concert_singer,How many singers do we have ?,SELECT COUNT(*) FROM singer,10.6428,llama3.1:8b,2025-12-06T15:33:04.390506
2,concert_singer,What is the total number of singers ?,SELECT COUNT(*) FROM singer,0.6212,llama3.1:8b,2025-12-06T15:33:05.015263
3,concert_singer,"Show name , country , age for all singers ordered by age from the oldest to the youngest .","SELECT T2.name, T2.country, T2.age FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.singer_id = T3.concert_id WHERE T2.singer_id IS NOT NULL ORDER BY T2.age DESC",2.6973,llama3.1:8b,2025-12-06T15:33:07.712571
4,concert_singer,"What are the names , countries , and ages for every singer in descending order of age ?","SELECT name, country, age FROM singer ORDER BY age DESC",1.0578,llama3.1:8b,2025-12-06T15:33:08.772958
5,concert_singer,"What is the average , minimum , and maximum age of all singers from France ?","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'france'",1.3668,llama3.1:8b,2025-12-06T15:33:10.141715
6,concert_singer,"What is the average , minimum , and maximum age for all French singers ?","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'france'",1.3785,llama3.1:8b,2025-12-06T15:33:11.522039
7,concert_singer,Show the name and the release year of the song by the youngest singer .,"SELECT T2.song_name, T2.song_release_year FROM singer AS T1 JOIN singer_in_concert AS T3 ON T1.singer_id = T3.singer_id JOIN concert AS T4 ON T3.concert_id = T4.concert_id WHERE T1.age = ( SELECT MIN(age) FROM singer )",3.2061,llama3.1:8b,2025-12-06T15:33:14.730387
8,concert_singer,What are the names and release years for all the songs of the youngest singer ?,"SELECT T2.song_name, T2.song_release_year FROM singer AS T1 JOIN singer_in_concert AS T3 ON T1.singer_id = T3.singer_id JOIN concert AS T4 ON T3.concert_id = T4.concert_id WHERE T1.age = ( SELECT MIN(age) FROM singer )",3.268,llama3.1:8b,2025-12-06T15:33:17.999891
9,concert_singer,What are all distinct countries where singers above age 20 are from ?,SELECT DISTINCT T1.Country FROM singer AS T1 WHERE T1.Age > 20,1.2418,llama3.1:8b,2025-12-06T15:33:19.243676
10,concert_singer,What are the different countries with singers above age 20 ?,SELECT DISTINCT T1.Country FROM singer AS T1 WHERE T1.Age > 20,1.0746,llama3.1:8b,2025-12-06T15:33:20.319798
