question_id;db_id;question;predicted_sql;latency_seconds;model;timestamp
1;concert_singer;How many singers do we have ?;SELECT COUNT(*) FROM singer;8.79;mistral:7b;2025-12-06T15:27:23.311838
2;concert_singer;What is the total number of singers ?;SELECT COUNT(*) FROM singer;0.3644;mistral:7b;2025-12-06T15:27:23.678771
3;concert_singer;Show name , country , age for all singers ordered by age from the oldest to the youngest .;SELECT name, country, age FROM singer ORDER BY age DESC;0.7595;mistral:7b;2025-12-06T15:27:24.439643
4;concert_singer;What are the names , countries , and ages for every singer in descending order of age ?;SELECT name, country, age FROM singer ORDER BY age DESC;0.7494;mistral:7b;2025-12-06T15:27:25.191527
5;concert_singer;What is the average , minimum , and maximum age of all singers from France ?;SELECT AVG(age) as avg_age, MIN(age) as min_age, MAX(age) as max_age FROM singer WHERE country = 'france';13.679;mistral:7b;2025-12-06T15:27:26.560410
6;concert_singer;What is the average , minimum , and maximum age for all French singers ?;SELECT AVG(age) AS average_age, MIN(age) AS min_age, MAX(age) AS max_age FROM singer WHERE country = 'france' AND Is_male = true;15.765;mistral:7b;2025-12-06T15:27:28.136898
7;concert_singer;Show the name and the release year of the song by the youngest singer .;SELECT singer.Song_Name, singer.Song_release_year FROM singer WHERE singer.Age = (SELECT MIN(Age) FROM singer);26.328;mistral:7b;2025-12-06T15:27:30.771468
8;concert_singer;What are the names and release years for all the songs of the youngest singer ?;SELECT song_name, song_release_year FROM singer WHERE is_male = true AND age = (SELECT MIN(age) FROM singer WHERE is_male = true);27.349;mistral:7b;2025-12-06T15:27:33.507348
9;concert_singer;What are all distinct countries where singers above age 20 are from ?;SELECT DISTINCT country FROM singer WHERE age > 20;0.7417;mistral:7b;2025-12-06T15:27:34.250030
10;concert_singer;What are the different countries with singers above age 20 ?;SELECT DISTINCT country FROM singer WHERE age > 20;0.5278;mistral:7b;2025-12-06T15:27:34.778822
11;concert_singer;Show all countries and the number of singers in each country .;SELECT Country, COUNT(*) FROM singer GROUP BY Country;0.7225;mistral:7b;2025-12-06T15:27:35.503394
12;concert_singer;How many singers are from each country ?;SELECT Country, COUNT(*) FROM singer GROUP BY Country;0.53;mistral:7b;2025-12-06T15:27:36.033373
13;concert_singer;List all song names by singers above the average age .;SELECT song_name FROM singer_in_concert JOIN singer ON singer_in_concert.singer_id = singer.singer_id WHERE singer.age > (SELECT AVG(singer.age) FROM singer);1.674;mistral:7b;2025-12-06T15:27:37.708418
14;concert_singer;What are all the song names by singers who are older than average ?;SELECT song_name FROM singer_in_concert JOIN singer ON singer_in_concert.singer_id = singer.singer_id JOIN concert ON concert.concert_id = singer_in_concert.concert_id WHERE singer.age > (SELECT AVG(singer.age) FROM singer);20.662;mistral:7b;2025-12-06T15:27:39.774648
15;concert_singer;Show location and name for all stadiums with a capacity between 5000 and 10000 .;SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000;10.102;mistral:7b;2025-12-06T15:27:40.785843
16;concert_singer;What are the locations and names of all stations with capacity between 5000 and 10000 ?;SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000;10.144;mistral:7b;2025-12-06T15:27:41.801856
17;concert_singer;What is the maximum capacity and the average of all stadiums ?;SELECT MAX(capacity), AVG(capacity) FROM stadium;0.7053;mistral:7b;2025-12-06T15:27:42.508178
18;concert_singer;What is the average and maximum capacities for all stadiums ?;SELECT AVG(capacity), MAX(capacity) FROM stadium;0.6994;mistral:7b;2025-12-06T15:27:43.209854
19;concert_singer;What is the name and capacity for the stadium with highest average attendance ?;SELECT name, capacity FROM stadium WHERE stadium_id = (SELECT stadium_id FROM concert JOIN singer_in_concert ON concert.concert_id = singer_in_concert.concert_id GROUP BY stadium_id ORDER BY AVG(Year) DESC LIMIT 1);18.889;mistral:7b;2025-12-06T15:27:45.099760
20;concert_singer;What is the name and capacity for the stadium with the highest average attendance ?;SELECT Name, Capacity FROM stadium WHERE Stadium_ID = (SELECT Stadium_ID FROM concert JOIN singer_in_concert ON concert.concert_ID = singer_in_concert.concert_ID GROUP BY Stadium_ID ORDER BY AVG(Year) DESC LIMIT 1);19.197;mistral:7b;2025-12-06T15:27:47.019985
21;concert_singer;How many concerts are there in year 2014 or 2015 ?;SELECT COUNT(*) FROM concert WHERE year IN ('2014', '2015');0.9594;mistral:7b;2025-12-06T15:27:47.981307
22;concert_singer;How many concerts occurred in 2014 or 2015 ?;SELECT COUNT(*) FROM concert WHERE year = 2014 OR year = 2015;0.7723;mistral:7b;2025-12-06T15:27:48.754582
23;concert_singer;Show the stadium name and the number of concerts in each stadium .;SELECT T2.Name, COUNT(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.Stadium_ID = T2.Stadium_ID GROUP BY T2.Stadium_ID;17.185;mistral:7b;2025-12-06T15:27:50.475615
24;concert_singer;For each stadium , how many concerts play there ?;SELECT Stadium_ID, COUNT(*) FROM concert JOIN stadium ON concert.Stadium_ID = stadium.Stadium_ID GROUP BY Stadium_ID;13.541;mistral:7b;2025-12-06T15:27:51.831308
25;concert_singer;Show the stadium name and capacity with most number of concerts in year 2014 or after .;SELECT T2.name, T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.Stadium_ID WHERE T1.Year > = 2014 GROUP BY T2.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1;23.025;mistral:7b;2025-12-06T15:27:54.134775
