question_id,db_id,question,predicted_sql,latency_seconds,model,timestamp
1,concert_singer,How many singers do we have ?,SELECT COUNT(*) FROM singer,6.4707,phi3.5:3.8b,2025-12-06T15:12:07.729431
2,concert_singer,What is the total number of singers ?,SELECT COUNT(*) FROM singer,0.2079,phi3.5:3.8b,2025-12-06T15:12:07.938541
3,concert_singer,"Show name , country , age for all singers ordered by age from the oldest to the youngest .","SELECT s.Name, s.Country, s.Age FROM singer AS s ORDER BY s.Age DESC",0.6535,phi3.5:3.8b,2025-12-06T15:12:08.593158
4,concert_singer,"What are the names , countries , and ages for every singer in descending order of age ?","SELECT s.Name, s.Country, s.Age FROM singer AS s ORDER BY s.Age DESC",0.6352,phi3.5:3.8b,2025-12-06T15:12:09.230838
5,concert_singer,"What is the average , minimum , and maximum age of all singers from France ?","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France'",0.6534,phi3.5:3.8b,2025-12-06T15:12:09.885248
6,concert_singer,"What is the average , minimum , and maximum age for all French singers ?","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France'",0.662,phi3.5:3.8b,2025-12-06T15:12:10.548214
7,concert_singer,Show the name and the release year of the song by the youngest singer .,"SELECT s.Name, CONVERT(s.Song_release_year USING utf8mb4) FROM singer AS s JOIN concert AS c ON FIND_IN_SET(c.concert_ID, (SELECT Singer_ID FROM singer_in_concert)) AND CAST(SUBSTRING_INDEX(CONCAT('0',s.Song_release_year), '.', -1) AS UNSIGNED INTEGER) = (SELECT MIN(CAST(SUBSTRING_INDEX(CONCAT('0',Age), '.', -1) AS UNSIGNED INTEGER)) FROM singer)",2.48,phi3.5:3.8b,2025-12-06T15:12:13.029810
8,concert_singer,What are the names and release years for all the songs of the youngest singer ?,"SELECT Name, Song_release_year FROM singer WHERE Age = (SELECT MIN(Age) FROM singer) AND Is_male = FALSE",0.7517,phi3.5:3.8b,2025-12-06T15:12:13.782489
9,concert_singer,What are all distinct countries where singers above age 20 are from ?,SELECT DISTINCT country FROM singer WHERE age > 20,0.4892,phi3.5:3.8b,2025-12-06T15:12:14.271692
10,concert_singer,What are the different countries with singers above age 20 ?,SELECT DISTINCT country FROM singer WHERE age > 20 ORDER BY country ASC,0.4095,phi3.5:3.8b,2025-12-06T15:12:14.682158
11,concert_singer,Show all countries and the number of singers in each country .,"SELECT Country, COUNT(*) FROM singer GROUP BY Country",0.4213,phi3.5:3.8b,2025-12-06T15:12:15.105459
12,concert_singer,How many singers are from each country ?,"SELECT Country, COUNT(*) FROM singer GROUP BY Country",0.279,phi3.5:3.8b,2025-12-06T15:12:15.385413
