question_id,db_id,question,predicted_sql,latency_seconds,model,timestamp
1,concert_singer,How many singers do we have ?,select count(*) from singer,5.4059,qwen2.5:7b,2025-12-07T23:14:37.425302
2,concert_singer,What is the total number of singers ?,select count(*) from singer,0.4487,qwen2.5:7b,2025-12-07T23:14:37.874521
3,concert_singer,"Show name , country , age for all singers ordered by age from the oldest to the youngest .","select name, country, age from singer order by age desc",0.5589,qwen2.5:7b,2025-12-07T23:14:38.433377
4,concert_singer,"What are the names , countries , and ages for every singer in descending order of age ?","select name, country, age from singer order by age desc",0.6077,qwen2.5:7b,2025-12-07T23:14:39.042104
5,concert_singer,"What is the average , minimum , and maximum age of all singers from France ?","select avg(age) , min(age) , max(age) from singer where country = 'france'",0.8319,qwen2.5:7b,2025-12-07T23:14:39.874684
6,concert_singer,"What is the average , minimum , and maximum age for all French singers ?","select avg(age) as average_age, min(age) as minimum_age, max(age) as maximum_age from singer where country = 'france'",0.9654,qwen2.5:7b,2025-12-07T23:14:40.840613
7,concert_singer,Show the name and the release year of the song by the youngest singer .,"select t1.song_name, t1.song_release_year from singer as t1 join singer_in_concert as t2 on t1.singer_id = t2.singer_id join concert as t3 on t2.concert_id = t3.concert_id where t1.age = (select min(age) from singer)",1.5982,qwen2.5:7b,2025-12-07T23:14:42.438771
8,concert_singer,What are the names and release years for all the songs of the youngest singer ?,"select song_name, song_release_year from singer where age = (select min(age) from singer)",0.7505,qwen2.5:7b,2025-12-07T23:14:43.190227
9,concert_singer,What are all distinct countries where singers above age 20 are from ?,select country from singer where age > 20 group by country,0.6588,qwen2.5:7b,2025-12-07T23:14:43.850336
10,concert_singer,What are the different countries with singers above age 20 ?,select country from singer where age > 20 group by country,0.4893,qwen2.5:7b,2025-12-07T23:14:44.340648
11,concert_singer,Show all countries and the number of singers in each country .,"select country, count(*) from singer group by country",0.5473,qwen2.5:7b,2025-12-07T23:14:44.887928
12,concert_singer,How many singers are from each country ?,"select country, count(*) from singer group by country",0.4795,qwen2.5:7b,2025-12-07T23:14:45.368586
13,concert_singer,List all song names by singers above the average age .,select T1.song_name from singer as T1 join singer_in_concert as T2 on T1.singer_id = T2.singer_id join concert as T3 on T2.concert_id = T3.concert_id where T1.age > (select avg(age) from singer),1.484,qwen2.5:7b,2025-12-07T23:14:46.853054
14,concert_singer,What are all the song names by singers who are older than average ?,select s.song_name from singer as s join singer_in_concert as sic on s.singer_id = sic.singer_id join concert as c on sic.concert_id = c.concert_id where s.age > (select avg(age) from singer),1.2179,qwen2.5:7b,2025-12-07T23:14:48.070980
15,concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000 .,"select location, name from stadium where capacity between 5000 and 10000",0.7439,qwen2.5:7b,2025-12-07T23:14:48.815912
16,concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000 ?,"select location, name from stadium where capacity between 5000 and 10000",0.7729,qwen2.5:7b,2025-12-07T23:14:49.589766
17,concert_singer,What is the maximum capacity and the average of all stadiums ?,"select max(capacity) as max_capacity , avg(capacity) as avg_capacity from stadium",0.6816,qwen2.5:7b,2025-12-07T23:14:50.272351
18,concert_singer,What is the average and maximum capacities for all stadiums ?,"select avg(capacity) as average_capacity , max(capacity) as maximum_capacity from stadium",0.693,qwen2.5:7b,2025-12-07T23:14:50.967388
19,concert_singer,What is the name and capacity for the stadium with highest average attendance ?,"select name, capacity from stadium where average = (select avg(average) from stadium order by average desc limit 1)",0.7096,qwen2.5:7b,2025-12-07T23:14:51.678314
20,concert_singer,What is the name and capacity for the stadium with the highest average attendance ?,"select name, capacity from stadium where average = (select max(average) from stadium)",0.6144,qwen2.5:7b,2025-12-07T23:14:52.293718
21,concert_singer,How many concerts are there in year 2014 or 2015 ?,select count(*) from concert where year = '2014' union select count(*) from concert where year = '2015',0.9232,qwen2.5:7b,2025-12-07T23:14:53.217884
22,concert_singer,How many concerts occurred in 2014 or 2015 ?,select count(*) from concert where year = 2014 union select count(*) from concert where year = 2015,0.7345,qwen2.5:7b,2025-12-07T23:14:53.952426
23,concert_singer,Show the stadium name and the number of concerts in each stadium .,"select t2.name, count(*) from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id group by t2.name",1.0196,qwen2.5:7b,2025-12-07T23:14:54.972984
24,concert_singer,"For each stadium , how many concerts play there ?","select t1.stadium_id, count(*) from stadium as t1 join concert as t2 on t1.stadium_id = t2.stadium_id group by t1.stadium_id",1.081,qwen2.5:7b,2025-12-07T23:14:56.055034
25,concert_singer,Show the stadium name and capacity with most number of concerts in year 2014 or after .,"select t2.name, t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id where t1.year > = 2014 group by t2.stadium_id order by count(*) desc limit 1",1.4151,qwen2.5:7b,2025-12-07T23:14:57.470169
26,concert_singer,What is the name and capacity of the stadium with the most concerts after 2013 ?,"select t2.name, t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id where t1.year > 2013 group by t2.stadium_id order by count(*) desc limit 1",1.438,qwen2.5:7b,2025-12-07T23:14:58.908174
27,concert_singer,Which year has most number of concerts ?,select year from concert group by year order by count(*) desc limit 1,0.6557,qwen2.5:7b,2025-12-07T23:14:59.564847
28,concert_singer,What is the year that had the most concerts ?,select year from concert group by year order by count(*) desc limit 1,0.6429,qwen2.5:7b,2025-12-07T23:15:00.207705
29,concert_singer,Show the stadium names without any concert .,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),0.6688,qwen2.5:7b,2025-12-07T23:15:00.876484
30,concert_singer,What are the names of the stadiums without any concerts ?,select name from stadium except select T2.name from concert as T1 join stadium as T2 on T1.stadium_id = T2.stadium_id,0.8573,qwen2.5:7b,2025-12-07T23:15:01.733784
31,concert_singer,Show countries where a singer above age 40 and a singer below 30 are from .,SELECT country FROM singer WHERE age > 40 INTERSECT SELECT country FROM singer WHERE age < 30,0.7791,qwen2.5:7b,2025-12-07T23:15:02.512921
32,concert_singer,Show names for all stadiums except for stadiums having a concert in year 2014 .,select name from stadium where stadium_id not in (select stadium_id from concert where year = '2014'),0.8323,qwen2.5:7b,2025-12-07T23:15:03.345209
33,concert_singer,What are the names of all stadiums that did not have a concert in 2014 ?,select name from stadium except select T2.name from concert as T1 join stadium as T2 on T1.stadium_id = T2.stadium_id where T1.year = 2014,1.1698,qwen2.5:7b,2025-12-07T23:15:04.515567
34,concert_singer,Show the name and theme for all concerts and the number of singers in each concert .,"select T1.concert_name, T1.theme, count(*) from concert as T1 join singer_in_concert as T2 on T1.concert_id = T2.concert_id group by T1.concert_id",1.1979,qwen2.5:7b,2025-12-07T23:15:05.713500
35,concert_singer,"What are the names , themes , and number of singers for every concert ?","select T4.concert_name, T4.theme, count(*) from singer_in_concert as T1 join singer as T2 on T1.singer_id = T2.singer_id join concert as T3 on T1.concert_id = T3.concert_id join stadium as T4 on T3.stadium_id = T4.stadium_id group by T4.concert_name, T4.theme",1.9013,qwen2.5:7b,2025-12-07T23:15:07.615823
36,concert_singer,List singer names and number of concerts for each singer .,"select T1.name , count(*) from singer as T1 join singer_in_concert as T2 on T1.singer_id = T2.singer_id join concert as T3 on T2.concert_id = T3.concert_id group by T1.name",1.3096,qwen2.5:7b,2025-12-07T23:15:08.925400
37,concert_singer,What are the names of the singers and number of concerts for each person ?,"select s.name, count(c.concert_id) from singer as s join singer_in_concert as sc on s.singer_id = sc.singer_id join concert as c on sc.concert_id = c.concert_id group by s.singer_id, s.name",1.3266,qwen2.5:7b,2025-12-07T23:15:10.252093
38,concert_singer,List all singer names in concerts in year 2014 .,select T3.name from singer_in_concert as T1 join singer as T3 on T1.singer_id = T3.singer_id join concert as T2 on T1.concert_id = T2.concert_id where T2.year = '2014',1.4165,qwen2.5:7b,2025-12-07T23:15:11.669637
39,concert_singer,What are the names of the singers who performed in a concert in 2014 ?,select T3.name from singer_in_concert as T1 join singer as T3 on T1.singer_id = T3.singer_id join concert as T2 on T1.concert_id = T2.concert_id where T2.year = 2014,1.4168,qwen2.5:7b,2025-12-07T23:15:13.086410
40,concert_singer,what is the name and nation of the singer who have a song having 'Hey ' in its name ?,"select t1.name, t1.country from singer as t1 join singer_in_concert as t2 on t1.singer_id = t2.singer_id join concert as t3 on t2.concert_id = t3.concert_id where t1.song_name like '%Hey '",1.488,qwen2.5:7b,2025-12-07T23:15:14.574403
41,concert_singer,What is the name and country of origin of every singer who has a song with the word 'Hey ' in its title ?,"select name, country from singer where song_name like '%hey %' intersect select name, country from singer",0.7922,qwen2.5:7b,2025-12-07T23:15:15.367596
42,concert_singer,Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015 .,"SELECT T2.location, T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year = '2014' INTERSECT SELECT T2.location, T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year = '2015'",1.9559,qwen2.5:7b,2025-12-07T23:15:17.323533
43,concert_singer,What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015 ?,"select t2.name, t2.location from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id where year = 2014 intersect select t2.name, t2.location from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id where year = 2015",1.7147,qwen2.5:7b,2025-12-07T23:15:19.038873
44,concert_singer,Find the number of concerts happened in the stadium with the highest capacity .,select count(*) from concert as c join stadium as s on c.stadium_id = s.stadium_id where s.capacity = (select max(capacity) from stadium),1.001,qwen2.5:7b,2025-12-07T23:15:20.041039
45,concert_singer,What are the number of concerts that occurred in the stadium with the largest capacity ?,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),0.7273,qwen2.5:7b,2025-12-07T23:15:20.769329
46,pets_1,Find the number of pets whose weight is heavier than 10 .,select count(*) from has_pet as T1 join pets as T2 on T1.petid = T2.petid where T2.weight > 10,0.9761,qwen2.5:7b,2025-12-07T23:15:21.746237
47,pets_1,How many pets have a greater weight than 10 ?,select count(*) from has_pet as T1 join pets as T2 on T1.petid = T2.petid where T2.weight > 10,0.886,qwen2.5:7b,2025-12-07T23:15:22.632195
48,pets_1,Find the weight of the youngest dog .,select weight from pets where pet_age = (select min(pet_age) from pets where pettype = 'dog') and pettype = 'dog',0.9825,qwen2.5:7b,2025-12-07T23:15:23.614648
49,pets_1,How much does the youngest dog weigh ?,select min(pet_age)*1.0*weight from pets where pettype = 'dog' intersect select max(weight) from pets where pettype = 'dog',0.9319,qwen2.5:7b,2025-12-07T23:15:24.547610
50,pets_1,Find the maximum weight for each type of pet . List the maximum weight and pet type .,"select max(t2.weight) , t2.pettype from pets as t2 join has_pet as t1 on t2.petid = t1.petid group by t2.pettype",1.1583,qwen2.5:7b,2025-12-07T23:15:25.707442
51,pets_1,List the maximum weight and type for each type of pet .,"select max(t3.weight) , t3.pettype from pets as t3 join has_pet as t1 on t3.petid = t1.petid group by t3.pettype",1.0623,qwen2.5:7b,2025-12-07T23:15:26.770905
52,pets_1,Find number of pets owned by students who are older than 20 .,select count(*) from has_pet as T1 join student as T2 on T1.StuID = T2.StuID where T2.Age > 20,1.0187,qwen2.5:7b,2025-12-07T23:15:27.789565
53,pets_1,How many pets are owned by students that have an age greater than 20 ?,select count(*) from has_pet as T1 join student as T2 on T1.StuID = T2.StuID where T2.Age > 20,0.9386,qwen2.5:7b,2025-12-07T23:15:28.728166
54,pets_1,Find the number of dog pets that are raised by female students ( with sex F ) .,select count(*) from has_pet as T1 join pets as T2 on T1.petid = T2.petid where T1.stuid in (select stuid from student where sex = 'F') and T2.pettype = 'dog',1.3117,qwen2.5:7b,2025-12-07T23:15:30.040377
55,pets_1,How many dog pets are raised by female students ?,select count(*) from has_pet as T1 join student as T2 on T1.stuid = T2.stuid join pets as T3 on T1.petid = T3.petid where T2.sex = 'F' and T3.pettype = 'dog',1.3671,qwen2.5:7b,2025-12-07T23:15:31.408525
56,pets_1,Find the number of distinct type of pets .,select count(*) from pets group by pettype,0.4475,qwen2.5:7b,2025-12-07T23:15:31.856002
57,pets_1,How many different types of pet are there ?,select count(*) from pets group by pettype,0.4468,qwen2.5:7b,2025-12-07T23:15:32.303814
58,pets_1,Find the first name of students who have cat or dog pet .,select T1.fname from student as T1 join has_pet as T2 on T1.stuid = T2.StuID join pets as T3 on T2.PetID = T3.PetID where T3.PetType = 'cat' union select T1.fname from student as T1 join has_pet as T2 on T1.stuid = T2.StuID join pets as T3 on T2.PetID = T3.PetID where T3.PetType = 'dog',2.4811,qwen2.5:7b,2025-12-07T23:15:34.784902
59,pets_1,What are the first names of every student who has a cat or dog as a pet ?,select T1.fname from student as T1 join has_pet as T2 on T1.stuid = T2.stuID join pets as T3 on T2.petid = T3.petid where T3.pettype like '%cat%' union select T1.fname from student as T1 join has_pet as T2 on T1.stuid = T2.stuID join pets as T3 on T2.petid = T3.petid where T3.pettype like '%dog%',2.4899,qwen2.5:7b,2025-12-07T23:15:37.274800
60,pets_1,Find the first name of students who have both cat and dog pets .,select T1.fname from student as T1 join has_pet as T2 on T1.StuID = T2.StuID join pets as P1 on T2.PetID = P1.PetID where P1.PetType = 'cat' intersect select T1.fname from student as T1 join has_pet as T2 on T1.StuID = T2.StuID join pets as P1 on T2.PetID = P1.PetID where P1.PetType = 'dog',2.479,qwen2.5:7b,2025-12-07T23:15:39.753796
61,pets_1,What are the students ' first names who have both cats and dogs as pets ?,select T1.fname from student as T1 join has_pet as T2 on T1.stuid = T2.stuID join pets as P1 on T2.petid = P1.petid where P1.pettype = 'cat' intersect select T1.fname from student as T1 join has_pet as T2 on T1.stuid = T2.stuID join pets as P1 on T2.petid = P1.petid where P1.pettype = 'dog',2.2718,qwen2.5:7b,2025-12-07T23:15:42.026163
62,pets_1,Find the major and age of students who do not have a cat pet .,"select major , age from student where stuid not in (select stuid from has_pet where petid in (select petid from pets where pettype = 'cat'))",1.065,qwen2.5:7b,2025-12-07T23:15:43.091144
63,pets_1,"What major is every student who does not own a cat as a pet , and also how old are they ?","select s.major,s.age from student as s where s.stuid not in (select h.stuid from has_pet as h join pets as p on h.petid = p.petid where p.petttype = 'cat') intersect select s.major,s.age from student as s",1.4257,qwen2.5:7b,2025-12-07T23:15:44.517848
