question_id;db_id;question;predicted_sql;latency_seconds;model;timestamp
1;concert_singer;How many singers do we have ?;SELECT COUNT(*) FROM singer WHERE is_male = true;53.615;smollm2:1.7b;2025-12-06T15:15:04.407680
2;concert_singer;What is the total number of singers ?;select count(*) from singer;0.2345;smollm2:1.7b;2025-12-06T15:15:04.642735
3;concert_singer;Show name , country , age for all singers ordered by age from the oldest to the youngest .;SELECT T2.name, T2.country, T2.age FROM singer AS T1 JOIN stadium AS T2 ON T1.singer_id = T2.singer_id ORDER BY T2.age DESC;0.9144;smollm2:1.7b;2025-12-06T15:15:05.559099
4;concert_singer;What are the names , countries , and ages for every singer in descending order of age ?;SELECT T1.Name, T1.Country, T1.Age FROM singer AS T1 INNER JOIN concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Year = '2015' ORDER BY T1.Age DESC;10.762;smollm2:1.7b;2025-12-06T15:15:06.636392
5;concert_singer;What is the average , minimum , and maximum age of all singers from France ?;SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France';0.5395;smollm2:1.7b;2025-12-06T15:15:07.176961
6;concert_singer;What is the average , minimum , and maximum age for all French singers ?;SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France';0.5308;smollm2:1.7b;2025-12-06T15:15:07.709355
7;concert_singer;Show the name and the release year of the song by the youngest singer .;SELECT T2.Song_Name, T1.Year FROM concert AS T1 JOIN singer AS T2 ON T1.concert_ID = T2.concert_ID WHERE T2.Is_male AND T2.Age = (SELECT MIN(T3.Age) FROM singer AS T3 WHERE T3.Singer_ID = T2.Singer_ID);13.036;smollm2:1.7b;2025-12-06T15:15:09.014052
8;concert_singer;What are the names and release years for all the songs of the youngest singer ?;SELECT song_name, year FROM singer INNER JOIN concert ON singer.singer_id = concert.concert_id WHERE singer.age = (SELECT MIN(singer.age) FROM singer) AND NOT EXISTS (SELECT 1 FROM singer_in_concert WHERE singer_id = singer.singer_id AND year = (SELECT MAX(year) FROM concert));1.296;smollm2:1.7b;2025-12-06T15:15:10.310071
9;concert_singer;What are all distinct countries where singers above age 20 are from ?;SELECT DISTINCT country FROM singer WHERE age > 20;0.4205;smollm2:1.7b;2025-12-06T15:15:10.730522
10;concert_singer;What are the different countries with singers above age 20 ?;SELECT DISTINCT country FROM singer WHERE age > 20;0.3332;smollm2:1.7b;2025-12-06T15:15:11.064673
11;concert_singer;Show all countries and the number of singers in each country .;SELECT country, COUNT(*) FROM singer GROUP BY country;0.4103;smollm2:1.7b;2025-12-06T15:15:11.477113
12;concert_singer;How many singers are from each country ?;SELECT DISTINCT country FROM singer WHERE country IS NOT NULL AND COUNT(*) > 0 GROUP BY country;0.499;smollm2:1.7b;2025-12-06T15:15:11.977179
13;concert_singer;List all song names by singers above the average age .;SELECT song_name FROM singer WHERE age > AVG(age);0.4044;smollm2:1.7b;2025-12-06T15:15:12.382911
14;concert_singer;What are all the song names by singers who are older than average ?;SELECT S.Song_Name FROM singer AS S INNER JOIN concert AS C ON S.Singer_ID = C.Singer_ID WHERE S.Is_male AND C.Year > (SELECT AVG(C.Year) FROM concert AS T1 JOIN singer AS T2 ON C.Singer_ID = T2.Singer_ID GROUP BY T2.Singer_ID HAVING COUNT(*) = (SELECT MAX(COUNT(*)) FROM singer AS T3 WHERE Is_male AND T3.Age > S.Age));17.065;smollm2:1.7b;2025-12-06T15:15:14.091504
