model;approach;count;mean;median;std;min;max;p25;p75;p95
codellama_7b;LlamaIndex;194;135.438;134.125;118.127;0.3432;51.065;;;
codellama_7b;Manual;194;145.218;126.555;132.622;0.4625;72.119;;;
deepseek-r1_1.5b;LlamaIndex;0;;;;;;;;
deepseek-r1_1.5b;Manual;194;964.605;66.693;737.874;3.657;237.755;;;
falcon3_1b;LlamaIndex;194;12.591;0.5753;42.287;0.2692;51.795;;;
falcon3_1b;Manual;194;11.015;0.5152;30.158;0.2132;29.995;;;
gemma3_4b;LlamaIndex;194;303.976;28.163;115.014;2.14;62.634;;;
gemma3_4b;Manual;194;227.566;20.62;301.873;1.697;427.199;;;
granite3.3_2b;LlamaIndex;194;11.061;0.582;47.548;0.1805;63.372;;;
granite3.3_2b;Manual;194;54.349;0.936;77.913;0.2954;59.672;;;
llama3.1_8b;LlamaIndex;194;121.678;139.595;110.494;0.4479;88.499;;;
llama3.1_8b;Manual;194;174.763;18.074;13.04;0.598;106.428;;;
mistral_7b;LlamaIndex;193;79.231;0.9911;105.702;0.2536;74.712;;;
mistral_7b;Manual;194;10.748;108.985;104.156;0.3299;56.073;;;
phi3.5_3.8b;LlamaIndex;194;0.667;0.4046;15.655;0.1462;15.088;;;
phi3.5_3.8b;Manual;194;31.344;0.6407;66.216;0.1941;64.707;;;
qwen2.5_7b;LlamaIndex;194;49.881;0.8576;6.944;0.3718;38.403;;;
qwen2.5_7b;Manual;195;0.9712;0.8352;0.6758;0.3385;68.771;0.6142;11.038;17.965
smollm2_1.7b;LlamaIndex;193;27.371;0.5775;69.845;0.2517;75.332;;;
smollm2_1.7b;Manual;194;37.311;0.7266;66.608;0.2345;53.615;;;
